state,year,pmt_var,method,count,25%,50%,75%,max,mean,min,std,var
AK,2018,--,outlier,--,--,--,--,--,--,--,--,--
AL,2018,PER_DIEM,allowed_amount,278796,$193 ,$208 ,$219 ,$715 ,$215 ,$38 ,$48 ,2286.728362
AL,2018,PER_DIEM_wage_adj,allowed_amount,260727,$257 ,$283 ,$310 ,$973 ,$292 ,$50 ,$65 ,4245.310423
AR,2018,PER_DIEM,allowed_amount,647371,$179 ,$188 ,$205 ,$754 ,$212 ,$16 ,$74 ,5481.351756
AR,2018,PER_DIEM_wage_adj,allowed_amount,650923,$231 ,$252 ,$275 ,"$1,075 ",$276 ,$19 ,$94 ,8754.765734
AZ,2018,PER_DIEM,allowed_amount,17550,$164 ,$171 ,$207 ,$990 ,$218 ,$9 ,$111 ,12285.63237
AZ,2018,PER_DIEM_wage_adj,allowed_amount,17623,$173 ,$189 ,$225 ,$982 ,$223 ,$10 ,$113 ,12781.16877
CA,2018,--,outlier,--,--,--,--,--,--,--,--,--
CO,2018,PER_DIEM,allowed_amount,287031,$207 ,$224 ,$241 ,"$1,124 ",$227 ,$23 ,$38 ,1430.331538
CO,2018,PER_DIEM_wage_adj,allowed_amount,313279,$207 ,$222 ,$236 ,"$1,170 ",$225 ,$22 ,$37 ,1343.147929
CT,2018,PER_DIEM,allowed_amount,212667,$224 ,$242 ,$254 ,"$2,774 ",$267 ,$65 ,$117 ,13779.07941
CT,2018,PER_DIEM_wage_adj,allowed_amount,208479,$190 ,$206 ,$223 ,"$2,542 ",$228 ,$50 ,$101 ,10105.5287
DC,2018,PER_DIEM,allowed_amount,68492,$271 ,$315 ,$429 ,"$5,669 ",$422 ,$37 ,$256 ,65722.69074
DC,2018,PER_DIEM_wage_adj,allowed_amount,7379,$247 ,$254 ,$265 ,$766 ,$262 ,$42 ,$57 ,3201.037076
DE,2018,--,outlier,--,--,--,--,--,--,--,--,--
FL,2018,PER_DIEM,allowed_amount,192886,$202 ,$228 ,$262 ,$917 ,$225 , $-   ,$123 ,15228.87758
FL,2018,PER_DIEM_wage_adj,allowed_amount,172266,$222 ,$253 ,$283 ,$981 ,$233 , $-   ,$120 ,14464.18174
GA,2018,PER_DIEM,allowed_amount,1045621,$166 ,$182 ,$200 ,$678 ,$186 ,$16 ,$36 ,1262.257433
GA,2018,PER_DIEM_wage_adj,allowed_amount,16097,$198 ,$213 ,$234 ,$339 ,$224 ,$112 ,$36 ,1284.306453
HI,2018,--,outlier,--,--,--,--,--,--,--,--,--
IA,2018,PER_DIEM,allowed_amount,13461,$172 ,$198 ,$425 ,"$2,662 ",$269 ,$50 ,$141 ,19938.83792
IA,2018,PER_DIEM_wage_adj,allowed_amount,13404,$198 ,$227 ,$508 ,"$2,824 ",$318 ,$53 ,$169 ,28570.17944
ID,2018,--,outlier,--,--,--,--,--,--,--,--,--
IL,2018,PER_DIEM,allowed_amount,324157,$137 ,$161 ,$197 ,"$6,599 ",$220 ,$46 ,$202 ,40718.40525
IL,2018,PER_DIEM_wage_adj,allowed_amount,314691,$151 ,$167 ,$205 ,"$3,198 ",$230 ,$43 ,$207 ,42957.5407
IN,2018,PER_DIEM,allowed_amount,830013,$192 ,$204 ,$213 ,$639 ,$206 ,$2 ,$31 ,941.7264757
IN,2018,PER_DIEM_wage_adj,allowed_amount,799742,$204 ,$222 ,$244 ,$630 ,$227 ,$2 ,$38 ,1476.309299
KS,2018,PER_DIEM,allowed_amount,15057,$184 ,$217 ,$463 ,$750 ,$309 ,$40 ,$144 ,20740.56716
KS,2018,PER_DIEM_wage_adj,allowed_amount,14948,$219 ,$265 ,$574 ,$810 ,$373 ,$47 ,$173 ,30009.16993
KY,2018,PER_DIEM,allowed_amount,253213,$177 ,$193 ,$210 ,"$3,613 ",$204 ,$27 ,$76 ,5776.643249
KY,2018,PER_DIEM_wage_adj,allowed_amount,247816,$219 ,$231 ,$248 ,"$4,160 ",$249 ,$29 ,$91 ,8274.434003
