state,year,pmt_var,method,count,25%,50%,75%,max,mean,min,std,var
LA,2018,PER_DIEM,allowed_amount,314334,$141 ,$157 ,$174 ,"$2,423 ",$165 ,$47 ,$64 ,4072.757167
LA,2018,PER_DIEM_wage_adj,allowed_amount,292715,$180 ,$203 ,$227 ,"$2,901 ",$212 ,$54 ,$83 ,6865.469077
MA,2018,PER_DIEM,allowed_amount,367079,$179 ,$211 ,$238 ,"$6,409 ",$247 ,$1 ,$183 ,33344.92574
MA,2018,PER_DIEM_wage_adj,allowed_amount,380957,$158 ,$187 ,$218 ,"$4,972 ",$219 ,$1 ,$160 ,25481.57478
MD,2018,PER_DIEM,allowed_amount,215454,$238 ,$253 ,$268 ,"$1,756 ",$246 ,$17 ,$53 ,2770.744497
MD,2018,PER_DIEM_wage_adj,allowed_amount,224383,$247 ,$264 ,$280 ,"$1,781 ",$257 ,$16 ,$55 ,3069.867943
ME,2018,PER_DIEM,allowed_amount,52274,$206 ,$234 ,$267 ,"$3,706 ",$284 ,$4 ,$271 ,73303.35446
ME,2018,PER_DIEM_wage_adj,allowed_amount,49643,$223 ,$253 ,$295 ,"$3,679 ",$306 ,$4 ,$273 ,74596.9142
MI,2018,PER_DIEM,allowed_amount,319372,$181 ,$206 ,$224 ,"$1,060 ",$208 ,$31 ,$54 ,2966.162362
MI,2018,PER_DIEM_wage_adj,allowed_amount,325370,$199 ,$224 ,$250 ,"$1,078 ",$230 ,$28 ,$62 ,3893.71648
MN,2018,file_unavailable,allowed_amount, -- , -- , -- , -- , -- , -- , -- , -- , -- 
MO,2018,--,outlier,--,--,--,--,--,--,--,--,--
MS,2018,PER_DIEM,allowed_amount,288300,$192 ,$207 ,$223 ,"$1,721 ",$222 ,$46 ,$56 ,3164.516489
MS,2018,PER_DIEM_wage_adj,allowed_amount,287475,$249 ,$267 ,$292 ,"$2,113 ",$288 ,$57 ,$71 ,5066.111564
MT,2018,PER_DIEM,allowed_amount,52988,$182 ,$198 ,$204 ,$785 ,$207 ,$19 ,$58 ,3339.532494
MT,2018,PER_DIEM_wage_adj,allowed_amount,50241,$203 ,$223 ,$231 ,"$1,016 ",$233 ,$22 ,$67 ,4485.359487
NC,2018,PER_DIEM,allowed_amount,752411,$175 ,$182 ,$189 ,"$1,255 ",$185 ,$17 ,$25 ,634.9683185
NC,2018,PER_DIEM_wage_adj,allowed_amount,742540,$199 ,$214 ,$230 ,$689 ,$218 ,$18 ,$33 ,1119.141923
ND,2018,PER_DIEM,allowed_amount,44073,$236 ,$283 ,$341 ,"$2,011 ",$331 ,$130 ,$180 ,32426.50092
ND,2018,PER_DIEM_wage_adj,allowed_amount,44157,$298 ,$359 ,$431 ,"$2,551 ",$417 ,$164 ,$227 ,51473.51018
NE,2018,PER_DIEM,allowed_amount,111961,$43 ,$101 ,$159 ,"$1,369 ",$103 , $-   ,$73 ,5284.121237
NE,2018,PER_DIEM_wage_adj,allowed_amount,112887,$47 ,$112 ,$175 ,"$1,409 ",$113 , $-   ,$81 ,6636.634397
NH,2018,--,outlier,--,--,--,--,--,--,--,--,--
NJ,2018,PER_DIEM,allowed_amount,151769,$206 ,$216 ,$228 ,"$1,689 ",$321 ,$89 ,$254 ,64648.01134
NJ,2018,PER_DIEM_wage_adj,allowed_amount,134606,$166 ,$182 ,$196 ,"$1,734 ",$215 ,$69 ,$142 ,20101.95886
NM,2018,PER_DIEM,allowed_amount,9309,$289 ,$327 ,$377 ,"$1,599 ",$346 ,$112 ,$107 ,11399.89218
NM,2018,PER_DIEM_wage_adj,allowed_amount,5252,$323 ,$364 ,$486 ,"$1,763 ",$400 ,$124 ,$113 ,12704.30783
NV,2018,PER_DIEM,allowed_amount,76526,$125 ,$131 ,$232 ,"$2,883 ",$193 ,$17 ,$129 ,16610.60294
NV,2018,PER_DIEM_wage_adj,allowed_amount,80687,$105 ,$111 ,$221 ,"$2,351 ",$185 ,$14 ,$127 ,16138.79604
NY,2018,PER_DIEM,allowed_amount,2602756,$227 ,$273 ,$310 ,"$1,840 ",$288 ,$9 ,$111 ,12268.52932
NY,2018,PER_DIEM_wage_adj,allowed_amount,2586330,$202 ,$225 ,$253 ,"$2,167 ",$245 ,$17 ,$93 ,8695.168587
OH,2018,PER_DIEM,allowed_amount,364320,$184 ,$196 ,$212 ,"$1,673 ",$214 ,$63 ,$81 ,6517.34125
OH,2018,PER_DIEM_wage_adj,allowed_amount,360615,$211 ,$227 ,$248 ,"$1,757 ",$245 ,$64 ,$93 ,8633.434205
OK,2018,PER_DIEM,allowed_amount,665091,$143 ,$147 ,$152 ,$614 ,$151 ,$4 ,$39 ,1536.291054
OK,2018,PER_DIEM_wage_adj,allowed_amount,628495,$166 ,$181 ,$191 ,$851 ,$183 ,$4 ,$42 ,1792.172113
OR,2018,PER_DIEM,allowed_amount,47433,$302 ,$313 ,$376 ,"$2,128 ",$343 ,$44 ,$69 ,4754.545768
OR,2018,PER_DIEM_wage_adj,allowed_amount,46720,$260 ,$282 ,$340 ,"$1,765 ",$301 ,$37 ,$63 ,3939.456531
PA,2018,PER_DIEM,allowed_amount,572269,$182 ,$202 ,$222 ,"$1,470 ",$226 ,$68 ,$101 ,10168.01412
PA,2018,PER_DIEM_wage_adj,allowed_amount,573232,$191 ,$214 ,$240 ,"$1,560 ",$238 ,$60 ,$107 ,11453.34296
RI,2018,PER_DIEM,allowed_amount,42961,$198 ,$234 ,$274 ,"$2,511 ",$314 ,$20 ,$267 ,71404.92217
RI,2018,PER_DIEM_wage_adj,allowed_amount,750,$455 ,$587 ,$588 ,"$2,975 ",$580 ,$18 ,$378 ,143004.9615
SC,2018,PER_DIEM,allowed_amount,153147,$130 ,$152 ,$179 ,"$2,380 ",$178 ,$1 ,$94 ,8849.202178
SC,2018,PER_DIEM_wage_adj,allowed_amount,141518,$153 ,$177 ,$209 ,"$2,839 ",$208 ,$1 ,$111 ,12402.20458
SD,2018,PER_DIEM,allowed_amount,40843,$99 ,$125 ,$159 ,$733 ,$154 ,$19 ,$105 ,10984.67542
SD,2018,PER_DIEM_wage_adj,allowed_amount,41233,$126 ,$159 ,$207 ,$939 ,$202 ,$25 ,$140 ,19652.13449
TN,2018,--,outlier,--,--,--,--,--,--,--,--,--
TX,2018,PER_DIEM,allowed_amount,440143,$146 ,$162 ,$178 ,"$1,727 ",$214 ,$10 ,$195 ,38202.51035
TX,2018,PER_DIEM_wage_adj,allowed_amount,388951,$160 ,$182 ,$206 ,"$2,027 ",$231 ,$11 ,$205 ,42209.74673
UT,2018,PER_DIEM,allowed_amount,137421,$186 ,$194 ,$202 ,$912 ,$207 ,$14 ,$86 ,7417.569126
UT,2018,PER_DIEM_wage_adj,allowed_amount,182592,$201 ,$210 ,$223 ,"$1,172 ",$241 ,$31 ,$128 ,16498.37898
VA,2018,PER_DIEM,allowed_amount,64613,$182 ,$220 ,$301 ,"$10,924 ",$306 ,$71 ,$232 ,53769.44249
VA,2018,PER_DIEM_wage_adj,allowed_amount,61507,$197 ,$234 ,$291 ,"$12,352 ",$313 ,$79 ,$230 ,52874.47853
VT,2018,--,outlier,--,--,--,--,--,--,--,--,--
WA,2018,PER_DIEM,allowed_amount,324867,$207 ,$220 ,$238 ,"$1,106 ",$229 ,$10 ,$52 ,2656.184424
WA,2018,PER_DIEM_wage_adj,allowed_amount,312488,$186 ,$197 ,$211 ,$847 ,$202 ,$9 ,$38 ,1426.148084
WI,2018,PER_DIEM,allowed_amount,76352,$164 ,$173 ,$190 ,"$1,494 ",$203 ,$20 ,$99 ,9784.660602
WI,2018,PER_DIEM_wage_adj,allowed_amount,74898,$172 ,$183 ,$198 ,"$1,499 ",$203 ,$18 ,$82 ,6717.45039
WV,2018,PER_DIEM,allowed_amount,104241,$231 ,$279 ,$391 ,"$5,197 ",$329 ,$25 ,$161 ,25834.55598
WV,2018,PER_DIEM_wage_adj,allowed_amount,99066,$305 ,$361 ,$498 ,"$6,291 ",$426 ,$30 ,$206 ,42545.32396
WY,2018,--,outlier,--,--,--,--,--,--,--,--,--
