state,year,pmt_var,method,claim_count,25%,50%,75%,max,mean,min,std,var
AK,2020,--,outlier,--,--,--,--,--,--,--,--,--
AL,2020,PER_DIEM,allowed_amount,308357,$211 ,$227 ,$243 ,$574 ,$230 ,$20 ,$38 ,1458
AL,2020,PER_DIEM_wage_adj,allowed_amount,271486,$283 ,$310 ,$340 ,$849 ,$317 ,$28 ,$56 ,3165
AR,2020,PER_DIEM,allowed_amount,573458,$187 ,$199 ,$210 ,$833 ,$210 ,$14 ,$57 ,3201
AR,2020,PER_DIEM_wage_adj,allowed_amount,497520,$240 ,$258 ,$277 ,"$1,039 ",$270 ,$19 ,$74 ,5502
AZ,2020,PER_DIEM,allowed_amount,17086,$183 ,$187 ,$224 ,"$1,200 ",$236 ,$1 ,$117 ,13603
AZ,2020,PER_DIEM_wage_adj,allowed_amount,16678,$185 ,$201 ,$239 ,"$1,212 ",$240 ,$2 ,$113 ,12871
CA,2020,--,outlier,--,--,--,--,--,--,--,--,--
CO,2020,PER_DIEM,allowed_amount,270499,$217 ,$234 ,$252 ,"$1,414 ",$238 ,$24 ,$43 ,1874
CO,2020,PER_DIEM_wage_adj,allowed_amount,283921,$216 ,$236 ,$251 ,"$1,512 ",$239 ,$24 ,$42 ,1753
CT,2020,PER_DIEM,allowed_amount,181613,$237 ,$254 ,$277 ,"$3,536 ",$287 ,$63 ,$134 ,17978
CT,2020,PER_DIEM_wage_adj,allowed_amount,177902,$207 ,$225 ,$242 ,"$3,292 ",$251 ,$51 ,$119 ,14142
DC,2020,PER_DIEM,allowed_amount,64618,$331 ,$445 ,$675 ,"$7,000 ",$550 ,$46 ,$323 ,104573
DC,2020,PER_DIEM_wage_adj,allowed_amount,5509,$265 ,$269 ,$283 ,"$2,503 ",$279 ,$48 ,$74 ,5452
DE,2020,--,outlier,--,--,--,--,--,--,--,--,--
FL,2020,PER_DIEM,allowed_amount,90485,$212 ,$253 ,$391 ,$797 ,$278 , $-   ,$161 ,26063
FL,2020,PER_DIEM_wage_adj,allowed_amount,66436,$228 ,$267 ,$351 ,$732 ,$273 , $-   ,$167 ,27929
GA,2020,PER_DIEM,allowed_amount,1011907,$180 ,$199 ,$223 ,$710 ,$201 ,$15 ,$41 ,1703
GA,2020,PER_DIEM_wage_adj,allowed_amount,15380,$214 ,$233 ,$294 ,$352 ,$248 ,$117 ,$43 ,1867
HI,2020,--,outlier,--,--,--,--,--,--,--,--,--
IA,2020,PER_DIEM,allowed_amount,4356,$410 ,$427 ,$437 ,"$2,401 ",$429 ,$155 ,$159 ,25233
IA,2020,PER_DIEM_wage_adj,allowed_amount,4339,$488 ,$509 ,$509 ,"$2,858 ",$505 ,$167 ,$167 ,28032
ID,2020,--,outlier,--,--,--,--,--,--,--,--,--
IL,2020,PER_DIEM,allowed_amount,193089,$177 ,$222 ,$350 ,"$3,482 ",$305 ,$53 ,$219 ,48097
IL,2020,PER_DIEM_wage_adj,allowed_amount,165350,$191 ,$236 ,$336 ,"$3,104 ",$323 ,$51 ,$237 ,56402
IN,2020,PER_DIEM,allowed_amount,760436,$215 ,$229 ,$239 ,$639 ,$230 ,$3 ,$34 ,1178
IN,2020,PER_DIEM_wage_adj,allowed_amount,737485,$230 ,$247 ,$267 ,$644 ,$251 ,$4 ,$40 ,1566
KS,2020,PER_DIEM,outlier,9060,$457 ,$492 ,$526 ,$750 ,$442 ,$60 ,$127 ,16014
KS,2020,PER_DIEM_wage_adj,outlier,8523,$587 ,$596 ,$613 ,$939 ,$552 ,$64 ,$136 ,18622
KY,2020,PER_DIEM,allowed_amount,303334,$187 ,$202 ,$222 ,"$3,778 ",$215 ,$21 ,$74 ,5426
KY,2020,PER_DIEM_wage_adj,allowed_amount,211243,$228 ,$241 ,$256 ,"$4,733 ",$257 ,$26 ,$89 ,8008
LA,2020,PER_DIEM,allowed_amount,280478,$161 ,$179 ,$197 ,"$1,870 ",$186 ,$47 ,$64 ,4086
LA,2020,PER_DIEM_wage_adj,allowed_amount,256923,$206 ,$231 ,$258 ,"$1,042 ",$241 ,$55 ,$83 ,6922
MA,2020,PER_DIEM,allowed_amount,251605,$197 ,$229 ,$263 ,"$5,741 ",$292 ,$3 ,$222 ,49178
MA,2020,PER_DIEM_wage_adj,allowed_amount,238626,$176 ,$204 ,$239 ,"$4,620 ",$260 ,$3 ,$206 ,42252
MD,2020,PER_DIEM,allowed_amount,187563,$254 ,$268 ,$283 ,"$1,367 ",$256 , $-   ,$73 ,5352
MD,2020,PER_DIEM_wage_adj,allowed_amount,173114,$260 ,$278 ,$295 ,"$1,427 ",$266 , $-   ,$76 ,5812
ME,2020,PER_DIEM,allowed_amount,93306,$149 ,$244 ,$302 ,"$4,227 ",$279 ,$9 ,$299 ,89496
ME,2020,PER_DIEM_wage_adj,allowed_amount,63727,$250 ,$293 ,$348 ,"$4,138 ",$347 ,$9 ,$335 ,112546
MI,2020,PER_DIEM,allowed_amount,284220,$188 ,$213 ,$237 ,"$4,715 ",$217 ,$25 ,$58 ,3405
MI,2020,PER_DIEM_wage_adj,allowed_amount,280461,$207 ,$235 ,$263 ,"$1,078 ",$239 ,$25 ,$65 ,4167
MN,2020,--,file_unavailable,--,--,--,--,--,--,--,--,--
MO,2020,--,outlier,--,--,--,--,--,--,--,--,--
MS,2020,PER_DIEM,allowed_amount,292577,$206 ,$218 ,$234 ,"$1,676 ",$230 ,$21 ,$49 ,2406
MS,2020,PER_DIEM_wage_adj,allowed_amount,287869,$267 ,$286 ,$310 ,"$1,755 ",$300 ,$27 ,$63 ,3971
MT,2020,PER_DIEM,allowed_amount,53169,$207 ,$210 ,$212 ,$592 ,$226 ,$22 ,$60 ,3558
MT,2020,PER_DIEM_wage_adj,allowed_amount,47288,$232 ,$242 ,$244 ,$731 ,$261 ,$26 ,$74 ,5505
NC,2020,PER_DIEM,allowed_amount,818365,$209 ,$232 ,$313 ,"$1,364 ",$266 ,$20 ,$103 ,10695
NC,2020,PER_DIEM_wage_adj,allowed_amount,714510,$241 ,$276 ,$352 ,"$1,512 ",$309 ,$21 ,$122 ,14870
ND,2020,PER_DIEM,allowed_amount,42708,$258 ,$306 ,$377 ,"$1,825 ",$368 ,$118 ,$202 ,40978
ND,2020,PER_DIEM_wage_adj,allowed_amount,52863,$292 ,$348 ,$414 ,"$2,507 ",$406 ,$104 ,$224 ,50184
NE,2020,PER_DIEM,allowed_amount,105408,$88 ,$190 ,$239 ,"$2,351 ",$179 ,$28 ,$89 ,8008
NE,2020,PER_DIEM_wage_adj,allowed_amount,93017,$98 ,$207 ,$264 ,"$2,531 ",$199 ,$22 ,$103 ,10602
NH,2020,--,outlier,--,--,--,--,--,--,--,--,--
NJ,2020,PER_DIEM,allowed_amount,90465,$219 ,$231 ,$309 ,"$1,638 ",$385 ,$147 ,$308 ,94757
NJ,2020,PER_DIEM_wage_adj,allowed_amount,70363,$179 ,$195 ,$214 ,"$1,469 ",$234 ,$132 ,$151 ,22741
NM,2020,PER_DIEM,allowed_amount,9135,$340 ,$374 ,$429 ,"$2,864 ",$397 ,$165 ,$131 ,17147
NM,2020,PER_DIEM_wage_adj,allowed_amount,5026,$368 ,$407 ,$549 ,"$2,928 ",$450 ,$188 ,$135 ,18345
NV,2020,PER_DIEM,allowed_amount,82801,$127 ,$132 ,$243 ,"$1,168 ",$209 ,$16 ,$131 ,17208
NV,2020,PER_DIEM_wage_adj,allowed_amount,80519,$107 ,$119 ,$213 ,$980 ,$190 ,$17 ,$122 ,14929
NY,2020,PER_DIEM,allowed_amount,2538576,$219 ,$269 ,$308 ,"$1,887 ",$284 ,$14 ,$112 ,12540
NY,2020,PER_DIEM_wage_adj,allowed_amount,2489352,$203 ,$227 ,$255 ,"$2,233 ",$248 ,$11 ,$96 ,9263
OH,2020,PER_DIEM,allowed_amount,333033,$190 ,$205 ,$224 ,"$2,528 ",$226 ,$56 ,$91 ,8268
OH,2020,PER_DIEM_wage_adj,allowed_amount,306630,$221 ,$239 ,$262 ,"$2,673 ",$259 ,$65 ,$103 ,10647
OK,2020,PER_DIEM,allowed_amount,630641,$167 ,$173 ,$179 ,$701 ,$174 ,$7 ,$40 ,1582
OK,2020,PER_DIEM_wage_adj,allowed_amount,549191,$198 ,$213 ,$224 ,$803 ,$212 ,$9 ,$39 ,1528
OR,2020,PER_DIEM,allowed_amount,45653,$335 ,$359 ,$457 ,$753 ,$389 ,$19 ,$82 ,6729
OR,2020,PER_DIEM_wage_adj,allowed_amount,43053,$281 ,$313 ,$384 ,$714 ,$339 ,$18 ,$73 ,5264
PA,2020,PER_DIEM,allowed_amount,101559,$195 ,$223 ,$564 ,"$1,207 ",$393 ,$40 ,$288 ,82811
PA,2020,PER_DIEM_wage_adj,allowed_amount,92339,$206 ,$245 ,$539 ,"$1,419 ",$400 ,$36 ,$309 ,95276
RI,2020,PER_DIEM,allowed_amount,54199,$202 ,$238 ,$278 ,"$2,534 ",$255 ,$15 ,$102 ,10440
