state,year,pmt_var,method,claim_count,25%,50%,75%,max,mean,min,std,var
RI,2020,PER_DIEM_wage_adj,allowed_amount,49140,$194 ,$228 ,$267 ,"$3,013 ",$246 ,$14 ,$108 ,11716
SC,2020,PER_DIEM,allowed_amount,144223,$146 ,$169 ,$200 ,"$2,102 ",$192 ,$0 ,$83 ,6867
SC,2020,PER_DIEM_wage_adj,allowed_amount,123140,$170 ,$196 ,$233 ,"$1,684 ",$222 ,$0 ,$94 ,8850
SD,2020,PER_DIEM,allowed_amount,36941,$112 ,$142 ,$182 ,"$1,782 ",$178 ,$45 ,$128 ,16430
SD,2020,PER_DIEM_wage_adj,allowed_amount,18972,$148 ,$184 ,$250 ,"$1,085 ",$248 ,$35 ,$181 ,32689
TN,2020,--,outlier,--,--,--,--,--,--,--,--,--
TX,2020,PER_DIEM,allowed_amount,396669,$153 ,$170 ,$194 ,"$1,718 ",$227 ,$11 ,$202 ,40960
TX,2020,PER_DIEM_wage_adj,allowed_amount,319579,$169 ,$192 ,$221 ,"$2,037 ",$248 ,$11 ,$220 ,48519
UT,2020,PER_DIEM,allowed_amount,155645,$198 ,$208 ,$219 ,$918 ,$230 ,$57 ,$111 ,12379
UT,2020,PER_DIEM_wage_adj,allowed_amount,197662,$211 ,$225 ,$242 ,"$1,131 ",$266 ,$59 ,$155 ,24113
VA,2020,PER_DIEM,allowed_amount,60841,$220 ,$290 ,$394 ,"$6,070 ",$347 ,$23 ,$210 ,44251
VA,2020,PER_DIEM_wage_adj,allowed_amount,41001,$232 ,$273 ,$443 ,"$6,827 ",$373 ,$64 ,$242 ,58517
VT,2020,--,outlier,--,--,--,--,--,--,--,--,--
WA,2020,PER_DIEM,allowed_amount,296586,$248 ,$264 ,$280 ,$986 ,$272 ,$17 ,$48 ,2267
WA,2020,PER_DIEM_wage_adj,allowed_amount,278226,$223 ,$237 ,$255 ,$810 ,$245 ,$15 ,$40 ,1594
WI,2020,PER_DIEM,allowed_amount,48230,$183 ,$194 ,$216 ,"$1,624 ",$261 ,$24 ,$207 ,42955
WI,2020,PER_DIEM_wage_adj,allowed_amount,42189,$195 ,$209 ,$226 ,"$1,625 ",$250 ,$23 ,$166 ,27508
WV,2020,PER_DIEM,allowed_amount,97876,$265 ,$314 ,$412 ,"$2,324 ",$356 ,$45 ,$154 ,23864
WV,2020,PER_DIEM_wage_adj,allowed_amount,90344,$344 ,$412 ,$537 ,"$2,821 ",$464 ,$97 ,$205 ,41897
WY,2020,--,outlier,--,--,--,--,--,--,--,--,--
