,state,25%,50%,75%,count,max,mean,min,std,pmt_var,var,method,year,filetype
0,AK,366.39,526.97,641.12,6124.0,5129.0,571.7610875244939,330.9,386.0724848923855,PER_DIEM,149051.96359098124,estimated_allowed_amount_C,2011,max
0,AK,306.24373119358074,417.36892127356253,507.68953068592054,6087.0,4629.061371841155,461.02180251636315,262.0782512276255,299.84093663356504,PER_DIEM_wage_adj,89904.58728129356,estimated_allowed_amount_C,2011,max
0,AL,171.95,184.06,192.17,217880.0,917.0,205.30652556453097,59.16,106.34371690540019,PER_DIEM,11308.986125255897,estimated_allowed_amount_C,2011,max
0,AL,209.93224932249325,234.19597989949747,257.5383807899226,199775.0,1277.1587743732591,258.9088187090817,74.96225757751712,132.59729831467573,PER_DIEM_wage_adj,17582.043520351108,estimated_allowed_amount_C,2011,max
0,AR,,,,,,,,,,,no_valid_method,2011,max
0,AZ,126.0,145.62,159.35,5964.0,866.0,153.57181589537225,11.06,66.49643260626873,PER_DIEM,4421.775549360038,estimated_allowed_amount_C,2011,max
0,AZ,127.91094007696536,149.7368915617365,170.11170939484046,6274.0,813.756812629205,156.8113025326296,12.160527762506872,65.16358379677777,PER_DIEM_wage_adj,4246.292653239678,estimated_allowed_amount_C,2011,max
0,CA,159.17,177.65,196.25,582063.0,895.25,199.1544196934009,23.71,84.95883648327428,PER_DIEM,7218.0038965917365,estimated_allowed_amount_C,2011,max
0,CA,125.5363552884214,139.45893888986166,152.94243222087812,564213.0,765.8466118017859,156.74341091741482,14.49798214504097,68.54015033432961,PER_DIEM_wage_adj,4697.752207852503,estimated_allowed_amount_C,2011,max
0,CO,166.2,179.9,192.77,149143.0,808.14,187.21475248586924,34.13,51.20426068069393,PER_DIEM,2621.8763118564584,estimated_allowed_amount_C,2011,max
0,CO,164.5176338869192,176.04030602724387,190.5116741182315,154708.0,847.953216374269,184.46559075423386,31.84362754245195,50.03133186371612,PER_DIEM_wage_adj,2503.134168057296,estimated_allowed_amount_C,2011,max
0,CT,212.67,229.4,240.77,192776.0,1837.0,257.58803964186416,118.52,167.02626019614075,PER_DIEM,27897.771595108912,estimated_allowed_amount_C,2011,max
0,CT,185.12375162831088,198.26118788322503,212.70516717325228,182986.0,2244.349419670128,228.5797050414394,94.46082728939189,150.16561779977235,PER_DIEM_wage_adj,22549.712769187303,estimated_allowed_amount_C,2011,max
0,DC,232.81,247.71,308.55,28851.0,1019.0,285.5259651311913,42.1,113.8396373073408,PER_DIEM,12959.463022266898,estimated_allowed_amount_C,2011,max
0,DC,210.78989088874383,244.1089918256131,260.0217983651226,1990.0,711.1716621253406,254.8010783205057,39.26140072740837,82.5627069653402,PER_DIEM_wage_adj,6816.600581444634,estimated_allowed_amount_C,2011,max
0,DE,192.68,209.81,241.98250000000002,30334.0,1088.75,237.1967188633217,66.48,132.01053719513786,PER_DIEM,17426.781930548877,estimated_allowed_amount_C,2011,max
0,DE,190.17013232514176,211.8045530260966,238.50083287062745,29621.0,1330.0794135613928,236.40677442333006,64.85822306238185,132.32664070849927,PER_DIEM_wage_adj,17510.339841196255,estimated_allowed_amount_C,2011,max
0,FL,,,,,,,,,,,no_valid_method,2011,max
0,GA,,,,,,,,,,,no_valid_method,2011,max
0,HI,221.515,240.4,292.59000000000003,115.0,1021.33,331.61530434782605,97.95,222.78069837225826,PER_DIEM,49631.23956723112,estimated_allowed_amount_C,2011,max
0,HI,195.13361337027436,215.67611046563587,320.1715971042988,79.0,912.798284028957,321.1148834015325,87.54133523996782,228.08680664388746,PER_DIEM_wage_adj,52023.591365006105,estimated_allowed_amount_C,2011,max
0,IA,135.48,150.16,164.3,131585.0,1777.0,159.39994695444008,112.68,84.53154314271319,PER_DIEM,7145.581786088381,estimated_allowed_amount_C,2011,max
0,IA,151.30105637310413,166.09713282621416,182.7618490345231,63898.0,2281.5153494448073,178.00788130217933,106.37213254035686,93.28503825165397,PER_DIEM_wage_adj,8702.098361612545,estimated_allowed_amount_C,2011,max
0,ID,,,,,,,,,,,no_valid_method,2011,max
0,IL,,,,,,,,,,,no_valid_method,2011,max
0,IN,144.48,154.2,160.39,303104.0,572.6,157.15544737119933,2.29,43.48111541661131,PER_DIEM,1890.6073978726736,estimated_allowed_amount_C,2011,max
0,IN,158.2609594706369,169.43153378619948,184.98754891497686,275857.0,673.102133237993,175.8079081106338,2.519167579408543,50.12208847736826,PER_DIEM_wage_adj,2512.2237533331318,estimated_allowed_amount_C,2011,max
0,KS,135.0,149.8,162.17,138057.0,750.0,154.82495802458405,24.16,44.56188801926245,PER_DIEM,1985.7618638412862,estimated_allowed_amount_C,2011,max
0,KS,157.33617341185314,174.7024182433279,194.69991229169275,133086.0,819.1925102399064,182.07965086129394,25.031081641110653,51.87828575053955,PER_DIEM_wage_adj,2691.356532414635,estimated_allowed_amount_C,2011,max
0,KY,158.13,169.58,184.75,145055.0,1401.0,185.68338126917374,20.71,79.94911504648202,PER_DIEM,6391.860996715617,estimated_allowed_amount_C,2011,max
0,KY,194.73818646232436,205.03192848020433,214.3933588761175,129653.0,1789.2720306513409,224.50239902545695,26.44955300127714,94.69856756328512,PER_DIEM_wage_adj,8967.818698538078,estimated_allowed_amount_C,2011,max
0,LA,107.45,119.65,131.42,192702.0,788.5,126.74591306784569,5.05,63.297525413915885,PER_DIEM,4006.576723525327,estimated_allowed_amount_B,2011,max
0,LA,122.99895141558895,139.17309812568908,154.81210978913887,5523.0,1022.4325726141079,159.3445734455092,56.08599779492833,108.68019659682948,PER_DIEM_wage_adj,11811.385132325506,estimated_allowed_amount_B,2011,max
0,MA,173.18,206.68,233.71,313181.0,3658.0,229.73678757651328,68.68,136.00939463933176,PER_DIEM,18498.55543015749,estimated_allowed_amount_C,2011,max
0,MA,158.56338539774794,187.39555555555555,209.57333333333335,301963.0,3108.1655195853514,206.72479769856162,58.356699804571335,117.00326530921468,PER_DIEM_wage_adj,13689.764093018479,estimated_allowed_amount_C,2011,max
0,MD,211.97,224.2,238.39,174203.0,2350.0,252.9514613984834,151.61,166.3543084935832,PER_DIEM,27673.755954378244,estimated_allowed_amount_C,2011,max
0,MD,212.08616991513568,225.77279375914188,243.09536784741144,167709.0,2871.1056811240073,252.77000813753108,141.3876713606267,158.41400810624145,PER_DIEM_wage_adj,25094.997964284332,estimated_allowed_amount_C,2011,max
0,ME,,,,,,,,,,,no_valid_method,2011,max
0,MI,158.45,179.35,195.8,268692.0,1567.5,195.09450969883733,101.13,108.24675338376342,PER_DIEM,11717.359618125298,estimated_allowed_amount_C,2011,max
0,MI,171.59642649058068,193.36060783167736,221.12215078901224,271405.0,1832.261835184103,214.74565054189833,87.96972860125261,118.2865179810679,PER_DIEM_wage_adj,13991.700336085501,estimated_allowed_amount_C,2011,max
0,MO,129.87,137.8,144.47,268046.0,2070.5,159.2489156338837,56.13,87.58009643806535,PER_DIEM,7670.273292100827,estimated_allowed_amount_C,2011,max
0,MO,150.90209020902088,159.92161985630307,175.21881123448728,270829.0,2277.777777777778,187.05931132053786,58.15375051802736,104.209926652353,PER_DIEM_wage_adj,10859.708812888794,estimated_allowed_amount_C,2011,max
0,MS,170.9,184.0,200.97,145056.0,738.0,197.34832692201633,47.61,72.81084397805809,PER_DIEM,5301.419000797118,estimated_allowed_amount_C,2011,max
0,MS,216.87664041994748,235.0,254.002624671916,145300.0,968.503937007874,251.51075362950266,62.48031496062992,92.20912720818188,PER_DIEM_wage_adj,8502.523140494668,estimated_allowed_amount_C,2011,max
0,MT,161.6,163.07,164.35,34983.0,849.0,168.85342251950945,31.45,43.06079495558497,PER_DIEM,1854.2320622069315,estimated_allowed_amount_C,2011,max
0,MT,188.16484677703414,190.5600563578725,192.96700716214627,32050.0,951.6870306019505,197.93082787624073,36.92614770459082,52.167707144471116,PER_DIEM_wage_adj,2721.469668711303,estimated_allowed_amount_C,2011,max
0,MN,,,,,,,,,,,no_valid_method,2011,max
0,NC,,,,,,,,,,,no_valid_method,2011,max
0,ND,,,,,,,,,,,no_valid_method,2011,max
0,NE,,,,,,,,,,,no_valid_method,2011,max
0,NH,,,,,,,,,,,no_valid_method,2011,max
0,NJ,192.03,202.68,216.0,287154.0,2229.5,220.52105236214715,143.84,123.36602096803979,PER_DIEM,15219.175129486834,estimated_allowed_amount_C,2011,max
0,NJ,174.49389179755673,187.95039985623146,203.55665024630545,150478.0,2723.885155772755,207.91828192345275,125.5148342059337,121.23270604771007,PER_DIEM_wage_adj,14697.369015650476,estimated_allowed_amount_C,2011,max
0,NM,146.55,158.17,216.9625,436.0,406.33,178.03876146788988,27.81,53.199113594101775,PER_DIEM,2830.1456871981445,estimated_allowed_amount_C,2011,max
0,NM,157.2863790186125,167.26945854483924,231.7047377326565,439.0,455.9869823813264,191.42988643305478,29.40989847715736,57.38891456155885,PER_DIEM_wage_adj,3293.4875145539013,estimated_allowed_amount_C,2011,max
0,NV,,,,,,,,,,,no_valid_method,2011,max
0,NY,175.26,207.88,254.67,766322.0,2716.5,228.5058050401789,23.0,97.95146504052583,PER_DIEM,9594.489503585355,estimated_allowed_amount_C,2011,max
0,NY,193.00104931794334,225.62003665241292,295.96823457544286,759259.0,3318.8759926695175,261.5783869177035,18.67641088103938,120.38843641138118,PER_DIEM_wage_adj,14493.37562157717,estimated_allowed_amount_C,2011,max
0,OH,155.45,169.77,181.73,494980.0,1519.0,178.37616699664633,98.0,97.922499330257,PER_DIEM,9588.815875084183,estimated_allowed_amount_C,2011,max
0,OH,170.0765801805921,182.8521739130435,193.4806629834254,295248.0,2275.6554307116107,195.49892945811823,96.63741248397594,121.72191296648509,PER_DIEM_wage_adj,14816.224096220572,estimated_allowed_amount_C,2011,max
0,OK,123.95,125.29,127.86,158076.0,372.0,132.5135109694071,22.65,35.236843432878636,PER_DIEM,1241.6351351132025,estimated_allowed_amount_C,2011,max
0,OK,142.5819533626225,155.70307785153892,160.67430025445293,152285.0,489.53809711804183,158.28359515186025,27.036160865157147,38.465216170882904,PER_DIEM_wage_adj,1479.5728550727517,estimated_allowed_amount_C,2011,max
0,OR,212.13,212.13,237.89,34056.0,1088.5,244.49927149400986,68.42,108.25273909194983,PER_DIEM,11718.655520909762,estimated_allowed_amount_C,2011,max
0,OR,184.84663645869642,190.54163298302345,211.51660185462163,32102.0,1085.3524778143385,222.80491667689316,59.620076681770655,99.62550694640112,PER_DIEM_wage_adj,9925.241634327418,estimated_allowed_amount_C,2011,max
0,PA,174.61,193.84,216.14,553858.0,2294.5,205.54358481776916,148.03,96.02068209121532,PER_DIEM,9219.971389262239,estimated_allowed_amount_C,2011,max
0,PA,195.89186636760712,214.16273584905662,242.66621743036836,562917.0,3162.2105843439913,230.6717545728214,129.17102966841188,110.06461597842357,PER_DIEM_wage_adj,12114.219690477854,estimated_allowed_amount_C,2011,max
0,RI,147.35,166.97,185.77,66552.0,1106.5,178.93198641663662,10.88,95.52527218800338,PER_DIEM,9125.077626592134,estimated_allowed_amount_B,2011,max
0,RI,136.76498039947734,154.66679111442974,172.61526974052643,62601.0,1032.7608736232967,165.29999255779384,8.4847539577322,86.65884258100496,PER_DIEM_wage_adj,7509.754997479398,estimated_allowed_amount_B,2011,max
0,SC,,,,,,,,,,,no_valid_method,2011,max
0,SD,109.61,125.53,141.7925,41884.0,1383.5,130.6148889790851,89.26,55.9605298490449,PER_DIEM,3131.5809009858453,estimated_allowed_amount_C,2011,max
0,SD,124.36475635243647,140.9559512652296,161.05904404873476,39693.0,1620.7825679475163,148.24845156872425,85.48170848496457,64.70000342606782,PER_DIEM_wage_adj,4186.090443333189,estimated_allowed_amount_C,2011,max
0,TN,132.23,162.73,162.74,25.0,623.57,184.85479999999998,131.23,120.11014171445588,PER_DIEM,14426.446142666673,estimated_allowed_amount_B,2011,max
0,TN,163.1462060456508,200.7772979642196,200.78963602714376,25.0,769.3645897594079,228.0750154225787,161.91239975323873,148.1926486298036,PER_DIEM_wage_adj,21961.061107916437,estimated_allowed_amount_B,2011,max
0,TX,75.29,97.57,120.0,2477247.0,709.0,99.48109027884583,6.35,33.77026221898594,PER_DIEM,1140.4306103390693,estimated_allowed_amount_B,2011,max
0,TX,84.75735673722251,107.92543333696719,135.5679513184584,2412913.0,908.2756853702281,112.95381232579949,6.440162271805273,39.45202328715366,PER_DIEM_wage_adj,1556.4621414501146,estimated_allowed_amount_B,2011,max
0,UT,152.8,162.08,172.43,40055.0,878.4,179.771750343278,46.34,77.20834671566091,PER_DIEM,5961.128802565707,estimated_allowed_amount_C,2011,max
0,UT,168.45796913780083,178.51774771649903,192.596589682711,40087.0,1162.519851773425,204.69831193189245,50.01079214331967,102.19771132635404,PER_DIEM_wage_adj,10444.372200344793,estimated_allowed_amount_C,2011,max
0,VA,143.27,152.03,165.33,226509.0,1129.25,160.8168816250127,29.39,48.528136228623325,PER_DIEM,2354.980005823824,estimated_allowed_amount_C,2011,max
