state,year,filetype,pmt_var,method,claim_count,50%,75%,max,mean,min,std,var
AK,2012,max,PER_DIEM,estimated_allowed_amount_C,6113,$524 ,$635 ,"$3,330 ",$592 ,$215 ,$300 ,89791
AK,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,6012,$408 ,$550 ,"$2,941 ",$459 ,$167 ,$182 ,33132
AL,2012,max,PER_DIEM,estimated_allowed_amount_C,216628,$188 ,$198 ,$781 ,$193 ,$60 ,$45 ,2024
AL,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,198926,$239 ,$262 ,$975 ,$247 ,$82 ,$58 ,3393
AR,2012,max,--,no_valid_method, -- , -- , -- , -- , -- , -- , -- ,--
AZ,2012,max,PER_DIEM,estimated_allowed_amount_C,6003,$138 ,$162 ,$857 ,$149 ,$3 ,$73 ,5390
AZ,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,6040,$148 ,$171 ,$865 ,$155 ,$2 ,$72 ,5207
CA,2012,max,PER_DIEM,estimated_allowed_amount_C,543391,$179 ,$207 ,$914 ,$204 ,$16 ,$94 ,8834
CA,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,526352,$142 ,$157 ,$789 ,$159 ,$10 ,$73 ,5271
CO,2012,max,PER_DIEM,estimated_allowed_amount_C,132489,$187 ,$204 ,$808 ,$192 ,$28 ,$46 ,2081
CO,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,139212,$182 ,$199 ,$759 ,$189 ,$26 ,$44 ,1893
CT,2012,max,PER_DIEM,estimated_allowed_amount_C,190929,$233 ,$243 ,"$1,600 ",$242 ,$66 ,$90 ,8055
CT,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,178239,$200 ,$219 ,"$1,418 ",$214 ,$51 ,$81 ,6481
DC,2012,max,PER_DIEM,estimated_allowed_amount_C,35404,$236 ,$284 ,"$1,019 ",$274 ,$27 ,$103 ,10590
DC,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,2403,$241 ,$262 ,$702 ,$258 ,$30 ,$88 ,7765
DE,2012,max,PER_DIEM,estimated_allowed_amount_C,7719,$210 ,$234 ,"$1,089 ",$225 ,$35 ,$79 ,6170
DE,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,7607,$209 ,$232 ,"$1,335 ",$221 ,$33 ,$77 ,6000
FL,2012,max,--,no_valid_method, -- , -- , -- , -- , -- , -- , -- ,--
GA,2012,max,--,no_valid_method, -- , -- , -- , -- , -- , -- , -- ,--
HI,2012,max,--,low_claim_count,95, -- , -- , -- , -- , -- , -- ,--
IA,2012,max,PER_DIEM,estimated_allowed_amount_C,131754,$155 ,$170 ,"$1,973 ",$161 ,$87 ,$67 ,4505
IA,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,83632,$175 ,$192 ,"$1,846 ",$184 ,$86 ,$84 ,6997
ID,2012,max,--,no_valid_method, -- , -- , -- , -- , -- , -- , -- ,--
IL,2012,max,--,no_valid_method, -- , -- , -- , -- , -- , -- , -- ,--
IN,2012,max,PER_DIEM,estimated_allowed_amount_C,183276,$157 ,$169 ,$403 ,$156 ,$14 ,$31 ,980
IN,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,169007,$174 ,$188 ,$471 ,$173 ,$16 ,$36 ,1299
KS,2012,max,PER_DIEM,estimated_allowed_amount_C,134118,$151 ,$169 ,"$1,072 ",$153 ,$18 ,$35 ,1191
KS,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,130293,$178 ,$195 ,"$1,333 ",$180 ,$20 ,$39 ,1516
KY,2012,max,PER_DIEM,estimated_allowed_amount_C,147468,$171 ,$186 ,"$1,441 ",$179 ,$28 ,$52 ,2701
KY,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,130092,$208 ,$218 ,"$1,551 ",$217 ,$31 ,$58 ,3341
LA,2012,max,PER_DIEM,estimated_allowed_amount_B,196285,$122 ,$134 ,$481 ,$123 ,$31 ,$35 ,1254
LA,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_B,157123,$149 ,$164 ,$637 ,$150 ,$34 ,$45 ,2000
MA,2012,max,PER_DIEM,estimated_allowed_amount_C,300923,$202 ,$225 ,"$1,116 ",$208 ,$39 ,$79 ,6163
MA,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,289656,$174 ,$200 ,"$1,065 ",$180 ,$29 ,$64 ,4100
MD,2012,max,PER_DIEM,estimated_allowed_amount_C,175042,$231 ,$244 ,"$1,166 ",$243 ,$75 ,$78 ,6011
MD,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,163468,$233 ,$251 ,"$1,489 ",$246 ,$70 ,$76 ,5743
ME,2012,max,--,no_valid_method, -- , -- , -- , -- , -- , -- , -- ,--
MI,2012,max,PER_DIEM,estimated_allowed_amount_C,263892,$184 ,$198 ,$955 ,$189 ,$62 ,$62 ,3808
MI,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,267240,$201 ,$230 ,"$1,151 ",$213 ,$57 ,$71 ,5036
MN,2012,max,--,file_unavailable, -- , -- , -- , -- , -- , -- , -- ,--
MO,2012,max,PER_DIEM,estimated_allowed_amount_C,267882,$147 ,$154 ,"$2,277 ",$161 ,$40 ,$65 ,4226
MO,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,270987,$170 ,$185 ,"$2,968 ",$188 ,$45 ,$77 ,5905
MS,2012,max,PER_DIEM,estimated_allowed_amount_C,151295,$186 ,$201 ,$507 ,$191 ,$34 ,$39 ,1529
