state,year,filetype,pmt_var,method,claim_count,25%,50%,75%,max,mean,min,std,var
OR,2013,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,32202, $192 , $223 , $268 , $782 , $238 , $41 , $68 ,4665.839409
PA,2013,max,PER_DIEM,estimated_allowed_amount_C,551985, $177 , $196 , $217 ," $1,658 ", $202 , $107 , $70 ,4858.30398
PA,2013,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,553359, $199 , $218 , $245 ," $2,119 ", $228 , $95 , $80 ,6433.317567
RI,2013,max,--,low_claim_count,--,--,--,--,--,--,--,--,--
SC,2013,max,--,no_valid_method,--,--,--,--,--,--,--,--,--
SD,2013,max,PER_DIEM,estimated_allowed_amount_C,41195, $109 , $125 , $142 ," $1,078 ", $130 , $70 , $52 ,2752.103422
SD,2013,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,39133, $131 , $149 , $171 ," $1,326 ", $157 , $71 , $64 ,4107.167199
TN,2013,--,--,low_claim_count,--,--,--,--,--,--,--,--,--
TX,2013,max,PER_DIEM,estimated_allowed_amount_B,2400982, $78 , $100 , $132 ," $1,165 ", $106 , $6 , $36 ,1323.082208
TX,2013,max,PER_DIEM_wage_adj,estimated_allowed_amount_B,2351906, $88 , $113 , $147 ," $1,195 ", $119 , $6 , $42 ,1750.904355
UT,2013,max,PER_DIEM,estimated_allowed_amount_C,40160, $162 , $170 , $181 , $858 , $188 , $26 , $87 ,7510.356637
UT,2013,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,46883, $182 , $192 , $207 ," $1,131 ", $228 , $29 , $130 ,16822.27874
VA,2013,max,PER_DIEM,estimated_allowed_amount_C,240973, $150 , $159 , $174 ," $2,027 ", $169 , $26 , $48 ,2296.898238
VA,2013,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,240245, $167 , $180 , $197 , $896 , $188 , $29 , $47 ,2256.242122
VT,2013,max,PER_DIEM,estimated_allowed_amount_C,21925, $190 , $207 , $234 , $618 , $214 , $35 , $47 ,2191.291103
VT,2013,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,21062, $189 , $204 , $230 , $600 , $214 , $35 , $48 ,2339.720414
WA,2013,max,PER_DIEM,estimated_allowed_amount_C,126244, $171 , $183 , $199 , $650 , $186 , $26 , $32 ,998.2582587
WA,2013,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,119519, $153 , $166 , $176 , $552 , $168 , $22 , $28 ,804.5378867
WI,2013,max,PER_DIEM,estimated_allowed_amount_C,167158, $149 , $157 , $168 ," $2,272 ", $164 , $38 , $42 ,1792.963178
WI,2013,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,157150, $154 , $164 , $175 ," $2,091 ", $171 , $33 , $44 ,1908.789932
WV,2013,max,PER_DIEM,estimated_allowed_amount_C,82239, $199 , $214 , $281 ," $1,583 ", $255 , $99 , $115 ,13180.70789
WV,2013,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,80341, $259 , $289 , $358 ," $2,306 ", $332 , $96 , $151 ,22662.39083
WY,2013,max,PER_DIEM,estimated_allowed_amount_C,16743, $149 , $168 , $180 , $840 , $172 , $54 , $51 ,2621.321825
WY,2013,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,14716, $162 , $179 , $196 , $909 , $186 , $59 , $57 ,3236.569687
