state,year,pmt_var,method,claim_count,25%,50%,75%,max,mean,min,std,var
ND,2017,PER_DIEM,allowed_amount,44513,$225 ,$269 ,$329 ,"$2,030 ",$312 ,$131 ,$164 ,26798.83792
ND,2017,PER_DIEM_wage_adj,allowed_amount,44437,$289 ,$350 ,$426 ,"$2,790 ",$403 ,$153 ,$211 ,44621.21302
NE,2017,PER_DIEM,allowed_amount,109851,$42 ,$96 ,$156 ,"$1,003 ",$99 , $-   ,$70 ,4912.805664
NE,2017,PER_DIEM_wage_adj,allowed_amount,114753,$47 ,$112 ,$175 ,"$1,118 ",$113 , $-   ,$81 ,6607.215815
NH,2017,--,outlier,--,--,--,--,--,--,--,--,--
NJ,2017,PER_DIEM,allowed_amount,189350,$205 ,$214 ,$225 ,"$1,567 ",$304 ,$75 ,$234 ,54828.35231
NJ,2017,PER_DIEM_wage_adj,allowed_amount,168245,$166 ,$183 ,$198 ,"$1,864 ",$215 ,$58 ,$143 ,20506.96817
NM,2017,PER_DIEM,allowed_amount,9200,$276 ,$309 ,$377 ,"$1,797 ",$330 ,$83 ,$90 ,8184.371826
NM,2017,PER_DIEM_wage_adj,allowed_amount,5148,$306 ,$353 ,$459 ,"$1,968 ",$379 ,$98 ,$103 ,10710.96534
NV,2017,PER_DIEM,allowed_amount,73205,$118 ,$126 ,$234 ,"$1,000 ",$194 ,$20 ,$127 ,16168.10848
NV,2017,PER_DIEM_wage_adj,allowed_amount,78081,$101 ,$116 ,$251 ,$826 ,$186 ,$15 ,$124 ,15352.45408
NY,2017,PER_DIEM,allowed_amount,2911218,$220 ,$266 ,$294 ,"$1,840 ",$278 ,$5 ,$104 ,10757.79322
NY,2017,PER_DIEM_wage_adj,allowed_amount,2862021,$199 ,$221 ,$242 ,"$2,189 ",$238 ,$4 ,$87 ,7551.852324
OH,2017,PER_DIEM,allowed_amount,390339,$182 ,$194 ,$210 ,"$2,774 ",$210 ,$25 ,$71 ,4994.910957
OH,2017,PER_DIEM_wage_adj,allowed_amount,390139,$209 ,$222 ,$245 ,"$3,799 ",$245 ,$30 ,$100 ,10074.19273
OK,2017,PER_DIEM,allowed_amount,642544,$141 ,$145 ,$149 ,$715 ,$152 ,$8 ,$40 ,1571.421712
OK,2017,PER_DIEM_wage_adj,allowed_amount,605590,$164 ,$180 ,$186 ,$790 ,$183 ,$9 ,$43 ,1830.830941
OR,2017,PER_DIEM,allowed_amount,65483,$281 ,$302 ,$302 ,"$1,331 ",$316 ,$27 ,$50 ,2546.845295
OR,2017,PER_DIEM_wage_adj,allowed_amount,64421,$247 ,$259 ,$288 ,"$1,125 ",$275 ,$22 ,$48 ,2301.119242
PA,2017,PER_DIEM,allowed_amount,695304,$181 ,$200 ,$222 ,"$1,537 ",$223 ,$99 ,$110 ,12011.19795
PA,2017,PER_DIEM_wage_adj,allowed_amount,696167,$191 ,$216 ,$242 ,"$2,105 ",$238 ,$89 ,$120 ,14292.65506
RI,2017,PER_DIEM,allowed_amount,38298,$198 ,$231 ,$273 ,"$1,989 ",$329 ,$31 ,$290 ,84369.99108
RI,2017,--,low_claim_count,538, -- , -- , -- , -- , -- , -- , -- ,--
SC,2017,PER_DIEM,allowed_amount,156643,$124 ,$145 ,$170 ,"$2,008 ",$167 ,$1 ,$89 ,7918.840996
SC,2017,PER_DIEM_wage_adj,allowed_amount,142766,$146 ,$169 ,$200 ,"$2,203 ",$195 ,$1 ,$106 ,11137.42659
SD,2017,PER_DIEM,allowed_amount,42145,$96 ,$121 ,$153 ,$815 ,$148 ,$26 ,$99 ,9853.337792
SD,2017,PER_DIEM_wage_adj,allowed_amount,41914,$119 ,$150 ,$194 ,$992 ,$189 ,$31 ,$128 ,16466.9028
TN,2017,--,outlier,--,--,--,--,--,--,--,--,--
TX,2017,PER_DIEM,allowed_amount,411647,$145 ,$162 ,$178 ,"$5,054 ",$219 ,$11 ,$197 ,38965.04067
TX,2017,PER_DIEM_wage_adj,allowed_amount,364879,$160 ,$183 ,$210 ,"$5,880 ",$238 ,$11 ,$210 ,44295.76208
UT,2017,PER_DIEM,allowed_amount,126398,$181 ,$190 ,$199 ,$911 ,$208 ,$47 ,$97 ,9424.675322
UT,2017,PER_DIEM_wage_adj,allowed_amount,164129,$194 ,$205 ,$222 ,"$1,206 ",$246 ,$49 ,$148 ,21756.91729
VA,2017,PER_DIEM,allowed_amount,243997,$158 ,$182 ,$217 ,"$4,474 ",$204 ,$6 ,$110 ,11998.28124
VA,2017,PER_DIEM_wage_adj,allowed_amount,244649,$182 ,$208 ,$242 ,"$4,976 ",$227 ,$96 ,$102 ,10463.30809
VT,2017,--,outlier,--,--,--,--,--,--,--,--,--
WA,2017,PER_DIEM,allowed_amount,331169,$199 ,$211 ,$221 ,$829 ,$218 ,$2 ,$49 ,2441.582547
WA,2017,PER_DIEM_wage_adj,allowed_amount,327973,$174 ,$187 ,$199 ,$788 ,$192 ,$2 ,$41 ,1699.762881
WI,2017,PER_DIEM,allowed_amount,74768,$159 ,$168 ,$183 ,"$1,592 ",$213 ,$30 ,$145 ,20941.57822
WI,2017,PER_DIEM_wage_adj,allowed_amount,72190,$166 ,$175 ,$189 ,"$1,637 ",$204 ,$32 ,$115 ,13223.65664
WV,2017,PER_DIEM,allowed_amount,104705,$223 ,$266 ,$385 ,"$5,509 ",$320 ,$40 ,$158 ,25097.12042
WV,2017,PER_DIEM_wage_adj,allowed_amount,100389,$296 ,$352 ,$496 ,"$6,455 ",$417 ,$55 ,$204 ,41600.89685
WY,2017,--,outlier,--,--,--,--,--,--,--,--,--
