,state,25%,50%,75%,count,max,mean,min,std,pmt_var,var,year,filetype,method
0,AK,547.52,652.81,740.61,6575.0,5343.1,712.7071711026615,344.72,450.4178721208625,PER_DIEM,202876.25952588563,2014,taf,allowed_amount
0,AK,294.7560975609756,374.48275862068965,644.7603027754415,7.0,2246.888141295206,684.3325723897633,289.9243061396131,722.1368576998441,PER_DIEM_wage_adj,521481.6412486049,2014,taf,allowed_amount
0,AL,179.35,191.16,201.13,260532.0,731.26,204.5762906284065,89.74,75.43674655337831,PER_DIEM,5690.702730558635,2014,taf,allowed_amount
0,AL,,,,0.0,,,,,PER_DIEM_wage_adj,,2014,taf,allowed_amount
0,CO,185.72,194.74,215.1,272049.0,877.01,210.48356586497286,30.2,60.02665028379046,PER_DIEM,3603.198744292481,2014,taf,allowed_amount
0,CO,636.9036027263876,697.996205833531,697.996205833531,5.0,721.0803527682509,671.4779302589084,603.4132841328413,49.23164219861893,PER_DIEM_wage_adj,2423.754593572836,2014,taf,allowed_amount
0,DE,347.52,420.25,474.19,37.0,695.04,428.6162162162162,347.52,76.53021252897271,PER_DIEM,5856.8734297297315,2014,taf,allowed_amount
0,DE,308.68958425150583,355.301093957673,429.6595440139045,49.0,703.9805530233972,345.6038740434698,255.26663728514765,82.51298553579844,PER_DIEM_wage_adj,6808.392782030882,2014,taf,allowed_amount
0,FL,203.28,217.9,233.07,179167.0,699.12,231.78975670742935,45.1,77.19067503906338,PER_DIEM,5958.400312986281,2014,taf,allowed_amount
0,FL,227.30118973074516,244.14387031408307,260.5886036318097,177785.0,900.1158748551564,260.23479251265894,43.45731354788977,87.8010976144341,PER_DIEM_wage_adj,7709.032742299384,2014,taf,allowed_amount
0,IL,124.38,141.11,161.32,505335.0,1151.16,148.9480153165722,74.27,81.18582811089301,PER_DIEM,6591.138686051467,2014,taf,allowed_amount
0,IL,133.44211940871568,148.8271720773128,161.42253791514685,494478.0,1480.5916398713828,154.48659250147577,69.68474385438168,83.70343829363193,PER_DIEM_wage_adj,7006.265582175849,2014,taf,allowed_amount
0,KS,137.84,160.375,177.73,1688.0,750.0,165.2848637440758,30.98,64.3065726477139,PER_DIEM,4135.335285695707,2014,taf,allowed_amount
0,KS,165.0996342540043,187.27456173540168,202.86290831126243,1658.0,793.9028262940616,192.53609003853197,35.715932672354164,75.32011189705507,PER_DIEM_wage_adj,5673.119256184897,2014,taf,allowed_amount
0,MD,223.97,237.46,251.2,207603.0,996.99,248.42927910482987,64.32,97.80076220198971,PER_DIEM,9564.98908729014,2014,taf,allowed_amount
0,MD,231.66210878152538,248.15152435936395,266.6168353265869,217350.0,1237.8817978644151,261.1419183208587,60.71934296233361,103.67031721762903,PER_DIEM_wage_adj,10747.53467200383,2014,taf,allowed_amount
0,ME,172.94,189.77,212.83,48172.0,2093.28,219.19647865980235,70.99,172.294198805571,PER_DIEM,29685.290942053623,2014,taf,allowed_amount
0,ME,188.13746117623484,209.73537266326778,231.57569515962928,44873.0,2541.0050983248366,242.6233701667192,73.1101956745623,192.75289350552262,PER_DIEM_wage_adj,37153.67795475134,2014,taf,allowed_amount
0,MT,165.81,167.67,169.72,25200.0,583.45,177.33576626984126,32.41,52.33537594966448,PER_DIEM,2738.9915757927192,2014,taf,allowed_amount
0,MT,182.2076280501209,182.6885029676852,183.69147065289073,4.0,186.70037370850736,183.21059573532642,180.765003297428,2.4969737944460793,PER_DIEM_wage_adj,6.2348781301504514,2014,taf,allowed_amount
0,NC,151.53,158.65,165.74,779914.0,547.0,168.39961046987233,23.3,44.35250921925928,PER_DIEM,1967.1450740444798,2014,taf,allowed_amount
0,NC,173.04385210662082,185.85185185185182,197.71604938271605,755439.0,603.4495192307693,196.12461577109144,24.09763160616403,53.12995291121213,PER_DIEM_wage_adj,2822.791896347618,2014,taf,allowed_amount
0,ND,197.97,235.525,276.48,38708.0,2377.34,251.7686808928387,153.38,145.32333875720792,PER_DIEM,21118.87278754221,2014,taf,allowed_amount
0,ND,261.4001473839352,314.9889462048637,376.8520892078954,48944.0,3503.817243920413,336.90347584262605,131.52117990053165,199.14741808425705,PER_DIEM_wage_adj,39659.694129625874,2014,taf,allowed_amount
0,NE,69.29,120.82,151.59,79361.0,852.59,106.89683698542103,0.0,59.887254049785234,PER_DIEM,3586.4831976235178,2014,taf,allowed_amount
0,NE,66.71827978161204,132.89257892578925,168.99283483722317,82966.0,1044.328760411563,116.92599186725195,0.0,71.09498812683343,PER_DIEM_wage_adj,5054.497336754585,2014,taf,allowed_amount
0,NH,353.68,510.11,510.11,1343.0,622.16,428.1646165301563,94.16,161.80075143463338,PER_DIEM,26179.483164812016,2014,taf,allowed_amount
0,NH,150.6095163193079,273.2179127575201,411.43095487563903,616.0,563.3110499410145,286.634303948351,91.07263758584001,149.3424336715483,PER_DIEM_wage_adj,22303.162494940803,2014,taf,allowed_amount
0,NM,175.8175,224.305,250.38750000000002,18.0,272.47,212.23444444444445,107.39,48.674875294830706,PER_DIEM,2369.243484967321,2014,taf,allowed_amount
0,NM,186.13235609648376,238.27134207061482,259.11983855945357,18.0,281.9724723170858,222.07677159274465,111.13525820138673,49.37606235178327,PER_DIEM_wage_adj,2437.995533367189,2014,taf,allowed_amount
0,NV,114.17,117.28,123.59,62420.0,1914.4,146.94939650752963,25.58,84.55329481546221,PER_DIEM,7149.259664150469,2014,taf,allowed_amount
0,NV,99.81938591210114,104.73836395858595,119.44605849312416,65145.0,1646.5124279693816,144.78001828096762,22.00051604025114,95.37897429009806,PER_DIEM_wage_adj,9097.148736631187,2014,taf,allowed_amount
0,RI,190.93,225.2,273.43,44440.0,1116.48,271.321901440144,62.18,149.58582997679602,PER_DIEM,22375.920529846928,2014,taf,allowed_amount
0,RI,178.54635164626623,211.57605085871523,250.50763829585347,41467.0,1059.3794477654426,251.25230821893206,58.99990511433722,139.77792966793115,PER_DIEM_wage_adj,19537.869622253107,2014,taf,allowed_amount
0,WI,149.44,158.26,166.67,65134.0,2332.59,171.143324070378,46.3,68.55105723543429,PER_DIEM,4699.247448095787,2014,taf,allowed_amount
0,WI,156.90949675324674,167.43036837376462,177.58091655943778,62373.0,2366.6700487012986,179.6203384405853,40.56421937970913,71.34961863084459,PER_DIEM_wage_adj,5090.768078766964,2014,taf,allowed_amount
0,AK,562.735,707.73,800.01,6515.0,5618.12,738.9439416730622,342.45,433.60907340118507,PER_DIEM,188016.8285358343,2015,taf,allowed_amount
0,AK,355.01707779886146,537.1764705882354,610.5805620420324,6435.0,4785.385863685539,563.4747346268339,259.92409867172677,387.42081509947025,PER_DIEM_wage_adj,150094.8879723379,2015,taf,allowed_amount
0,AL,186.57,199.41,207.99,254149.0,762.26,212.6087929915129,49.18,80.19817048111014,PER_DIEM,6431.746548517206,2015,taf,allowed_amount
0,AL,232.94663573085847,251.23946757845894,270.8781236911908,673323.0,1102.487706103558,271.7335754506719,65.23411593049475,105.4212210850765,PER_DIEM_wage_adj,11113.633855068576,2015,taf,allowed_amount
0,AZ,147.83,156.08,185.57,13387.0,958.78,181.27685665197578,22.12,70.9789511843483,PER_DIEM,5038.0115112301,2015,taf,allowed_amount
0,AZ,155.37476949777633,169.30252738908777,187.84286378428638,15537.0,923.4132716941153,188.79735466762327,21.304054704805935,79.62039392806264,PER_DIEM_wage_adj,6339.407129259875,2015,taf,allowed_amount
0,CO,190.95,202.23,222.39,276558.0,877.01,216.617482951135,32.42,59.188886733031666,PER_DIEM,3503.3243126956518,2015,taf,allowed_amount
0,CO,189.2319493719436,202.0232045258414,214.12407709272225,1894576.0,880.5074697652359,215.01089798160183,31.086393709847545,58.633053100908626,PER_DIEM_wage_adj,3437.8349159339705,2015,taf,allowed_amount
0,DC,273.15,288.64,299.81,61136.0,4473.98,302.45550085056266,38.69,80.96094724681369,PER_DIEM,6554.67497910135,2015,taf,allowed_amount
0,DC,222.2820340286456,231.62549264635203,277.4584254541959,62260.0,761.6745169662597,255.99713761985788,37.191194847640105,74.59662321727774,PER_DIEM_wage_adj,5564.656195420501,2015,taf,allowed_amount
0,DE,347.52,420.25,472.5,36.0,947.78,434.79305555555555,347.52,104.85412391425234,PER_DIEM,10994.387301825383,2015,taf,allowed_amount
0,DE,288.77277387806606,331.4535846675605,428.57022054960066,120.0,1156.9580078125,380.2249991797945,274.09101664169094,133.38760283380222,PER_DIEM_wage_adj,17792.25258974816,2015,taf,allowed_amount
0,FL,210.07,227.95,246.58,98103.0,716.48,243.50491564987817,46.22,81.57010619954723,PER_DIEM,6653.682225405413,2015,taf,allowed_amount
0,FL,230.3017004936917,250.6047761811227,269.3477302776554,225899.0,939.6459016393443,268.51422595415073,46.44292604501608,91.38881513629171,PER_DIEM_wage_adj,8351.9155320153,2015,taf,allowed_amount
0,HI,51.9475,90.69,154.2675,8.0,173.82,98.42625,23.89,57.008806321605135,PER_DIEM,3250.0039982142853,2015,taf,allowed_amount
0,HI,101.37953160089832,124.12977221687521,128.54908565928778,4.0,139.41289701636188,105.79884504331088,35.52293872313122,47.40579087862098,PER_DIEM_wage_adj,2247.3090088275435,2015,taf,allowed_amount
0,IL,125.75,142.67,166.05,417036.0,1137.23,152.32314334973478,73.37,84.29547813255394,PER_DIEM,7105.7276335958795,2015,taf,allowed_amount
0,IL,132.79585372876477,149.41276959214179,165.31336980516363,1962556.0,1472.1423948220065,155.82011592294384,70.10989010989012,85.4198224727444,PER_DIEM_wage_adj,7296.546071275169,2015,taf,allowed_amount
0,IN,174.98,184.88,199.65,727180.0,402.75,188.53889723314725,3.86,27.67297594060824,PER_DIEM,765.7935974094825,2015,taf,allowed_amount
