state,year,pmt_var,method,claim_count,25%,50%,75%,max,mean,min,std,var
AK,2016, -- ,outlier, -- , -- , -- , -- , -- , -- , -- , -- , -- 
AL,2016,PER_DIEM,allowed_amount,268961,$187 ,$198 ,$209 ,$561 ,$206 ,$30 ,$49 ,2370.242634
AL,2016,PER_DIEM_wage_adj,allowed_amount,250943,$242 ,$267 ,$291 ,$812 ,$275 ,$43 ,$67 ,4485.422269
AR,2016,PER_DIEM,allowed_amount,636096,$170 ,$181 ,$202 ,$692 ,$194 ,$15 ,$53 ,2830.598179
AR,2016,PER_DIEM_wage_adj,allowed_amount,574171,$220 ,$240 ,$273 ,$848 ,$254 ,$18 ,$70 ,4929.721636
AZ,2016,PER_DIEM,allowed_amount,15114,$148 ,$158 ,$187 ,"$1,182 ",$188 ,$3 ,$79 ,6263.074569
AZ,2016,PER_DIEM_wage_adj,allowed_amount,14194,$159 ,$173 ,$196 ,"$1,147 ",$188 ,$4 ,$72 ,5252.235984
CA,2016, -- ,outlier, -- , -- , -- , -- , -- , -- , -- , -- , -- 
CA,2016,PER_DIEM_wage_adj,allowed_amount,163,$155 ,$163 ,$173 ,$201 ,$164 ,$92 ,$14 ,205.9336655
CO,2016,PER_DIEM,allowed_amount,300363,$196 ,$213 ,$229 ,"$1,232 ",$216 ,$22 ,$40 ,1603.678445
CO,2016,PER_DIEM_wage_adj,allowed_amount,331950,$201 ,$214 ,$230 ,"$1,202 ",$220 ,$22 ,$40 ,1584.12643
CT,2016,PER_DIEM,allowed_amount,224014,$222 ,$241 ,$252 ,"$2,456 ",$264 ,$63 ,$112 ,12625.33092
CT,2016,PER_DIEM_wage_adj,allowed_amount,215813,$184 ,$199 ,$217 ,"$2,307 ",$220 ,$47 ,$96 ,9184.559089
DC,2016,PER_DIEM,allowed_amount,82488,$277 ,$300 ,$337 ,"$5,106 ",$386 ,$26 ,$215 ,46290.19601
DC,2016,PER_DIEM_wage_adj,allowed_amount,6935,$237 ,$251 ,$264 ,$763 ,$260 ,$38 ,$52 ,2662.809187
DE,2016, -- ,outlier, -- , -- , -- , -- , -- , -- , -- , -- , -- 
FL,2016,PER_DIEM,allowed_amount,180085,$193 ,$223 ,$260 ,$616 ,$214 , $-   ,$131 ,17125.55491
FL,2016,PER_DIEM_wage_adj,allowed_amount,158986,$201 ,$243 ,$276 ,$712 ,$218 , $-   ,$132 ,17432.53187
GA,2016,PER_DIEM,allowed_amount,1045205,$155 ,$167 ,$184 ,$678 ,$171 ,$19 ,$30 ,911.3943762
GA,2016,PER_DIEM_wage_adj,allowed_amount,11015,$194 ,$202 ,$235 ,$281 ,$213 ,$121 ,$29 ,865.4258119
HI,2016, -- ,outlier, -- , -- , -- , -- , -- , -- , -- , -- , -- 
IA,2016,PER_DIEM,allowed_amount,54778,$162 ,$183 ,$216 ,"$2,173 ",$221 ,$1 ,$110 ,12178.68678
IA,2016,PER_DIEM_wage_adj,allowed_amount,54227,$188 ,$207 ,$247 ,"$2,583 ",$255 ,$1 ,$130 ,16875.31976
ID,2016, -- ,outlier, -- , -- , -- , -- , -- , -- , -- , -- , -- 
IL,2016,PER_DIEM,allowed_amount,518850,$124 ,$144 ,$172 ,"$3,877 ",$151 ,$21 ,$110 ,12204.96042
IL,2016,PER_DIEM_wage_adj,allowed_amount,496975,$135 ,$154 ,$171 ,"$3,017 ",$157 ,$20 ,$112 ,12655.09037
IN,2016,PER_DIEM,allowed_amount,817711,$179 ,$191 ,$200 ,$639 ,$194 ,$2 ,$32 ,1021.802584
IN,2016,PER_DIEM_wage_adj,allowed_amount,784818,$192 ,$208 ,$227 ,$636 ,$212 ,$2 ,$37 ,1352.254292
KS,2016,PER_DIEM,allowed_amount,15258,$160 ,$185 ,$426 ,"$7,285 ",$270 ,$37 ,$152 ,23087.14242
KS,2016,PER_DIEM_wage_adj,allowed_amount,15127,$192 ,$225 ,$554 ,"$8,593 ",$333 ,$39 ,$190 ,36096.10505
KY,2016,PER_DIEM,allowed_amount,227017,$173 ,$187 ,$203 ,"$3,030 ",$204 ,$34 ,$83 ,6918.237654
KY,2016,PER_DIEM_wage_adj,allowed_amount,220316,$217 ,$226 ,$242 ,"$3,460 ",$249 ,$38 ,$100 ,9914.552938
LA,2016,PER_DIEM,allowed_amount,316313,$134 ,$149 ,$167 ,"$1,733 ",$157 ,$48 ,$62 ,3887.589518
LA,2016,PER_DIEM_wage_adj,allowed_amount,292896,$168 ,$191 ,$215 ,"$2,490 ",$201 ,$55 ,$82 ,6644.729832
MA,2016,PER_DIEM,allowed_amount,379920,$179 ,$210 ,$237 ,"$5,963 ",$242 ,$3 ,$164 ,26812.28979
MA,2016,PER_DIEM_wage_adj,allowed_amount,392220,$157 ,$186 ,$216 ,"$4,577 ",$211 ,$2 ,$128 ,16449.08483
MD,2016,PER_DIEM,allowed_amount,224065,$230 ,$243 ,$255 ,"$4,191 ",$235 ,$16 ,$52 ,2731.039503
MD,2016,PER_DIEM_wage_adj,allowed_amount,232904,$236 ,$251 ,$263 ,"$4,502 ",$243 ,$15 ,$54 ,2904.733724
ME,2016,PER_DIEM,allowed_amount,53219,$192 ,$213 ,$242 ,"$3,330 ",$249 ,$3 ,$189 ,35675.97095
ME,2016,PER_DIEM_wage_adj,allowed_amount,49909,$206 ,$235 ,$269 ,"$3,306 ",$270 ,$3 ,$193 ,37069.51531
MI,2016,PER_DIEM,allowed_amount,301262,$173 ,$199 ,$215 ,"$1,105 ",$201 ,$38 ,$53 ,2815.155183
MI,2016,PER_DIEM_wage_adj,allowed_amount,307362,$189 ,$215 ,$239 ,"$1,318 ",$221 ,$34 ,$61 ,3673.057353
MN,2016, -- ,file_unavailable, -- , -- , -- , -- , -- , -- , -- , -- , -- 
MO,2016, -- ,outlier, -- , -- , -- , -- , -- , -- , -- , -- , -- 
MS,2016,PER_DIEM,allowed_amount,210806,$184 ,$202 ,$218 ,"$3,490 ",$219 ,$21 ,$77 ,5910.167025
MS,2016,PER_DIEM_wage_adj,allowed_amount,212225,$242 ,$265 ,$293 ,"$4,704 ",$289 ,$23 ,$99 ,9870.718185
MT,2016,PER_DIEM,allowed_amount,45613,$172 ,$175 ,$177 ,"$2,769 ",$179 ,$29 ,$42 ,1772.780143
MT,2016,PER_DIEM_wage_adj,allowed_amount,26723,$187 ,$190 ,$194 ,"$3,006 ",$196 ,$33 ,$48 ,2318.116971
NC,2016,PER_DIEM,allowed_amount,746958,$161 ,$166 ,$172 ,"$1,231 ",$169 ,$16 ,$23 ,512.7955044
NC,2016,PER_DIEM_wage_adj,allowed_amount,733585,$184 ,$196 ,$207 ,$589 ,$198 ,$17 ,$29 ,817.6302446
ND,2016,PER_DIEM,allowed_amount,46807,$225 ,$268 ,$331 ,"$2,349 ",$324 ,$118 ,$188 ,35524.89965
ND,2016,PER_DIEM_wage_adj,allowed_amount,45720,$302 ,$363 ,$450 ,"$3,049 ",$435 ,$154 ,$249 ,62191.28934
