,state,year,filetype,pmt_var,method,mean,25%,50%,75%,count,max,min,std,var
41,MO,2011,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,177.63354855225978,150.42904290429044,159.84598459845986,173.481384715872,270829.0,2277.777777777778,49.098632407791136,73.71045356936723,5433.230965401842
42,MS,2011,max,PER_DIEM,estimated_allowed_amount_C,188.41979201136115,170.0,182.94,197.94,145056.0,479.5,36.29,38.71072905506031,1498.52054397429
43,MS,2011,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,240.23975671268173,214.71128608923885,234.65879265091863,251.70603674540683,145300.0,629.265091863517,47.6246719160105,49.52512073037019,2452.737583357743
44,MT,2011,max,PER_DIEM,estimated_allowed_amount_C,166.64904610810964,161.52,163.0,164.6,34983.0,849.0,31.68,34.07326661342197,1160.987497709336
45,MT,2011,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,195.1744469786279,188.09550498823003,190.44264412351765,192.94352471527532,32050.0,951.6870306019504,36.822688494350935,41.240211898343205,1700.7550774202484
46,NC,2011,max,,no_valid_method,,,,,,,,,
47,ND,2011,max,,no_valid_method,,,,,,,,,
48,NE,2011,max,,no_valid_method,,,,,,,,,
49,NH,2011,max,,no_valid_method,,,,,,,,,
50,NJ,2011,max,PER_DIEM,estimated_allowed_amount_C,208.32875108826624,190.86,201.56,214.58,287154.0,1371.0,88.45,68.58482496145899,4703.878214993968
51,NJ,2011,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,196.23391655259977,173.47294938917975,186.4039408866995,201.59685863874347,150478.0,1675.0152718387294,77.18150087260035,69.92587002846415,4889.627299237661
52,NM,2011,max,PER_DIEM,estimated_allowed_amount_C,175.02509174311928,143.0,157.985,229.11,436.0,406.33,18.05,50.03725097184248,2503.726484819152
53,NM,2011,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,187.5117785105855,154.09606104814276,166.33883248730965,237.81089442727637,439.0,455.9869823813264,19.08840947546532,53.423125503508,2854.0303385635666
54,NV,2011,max,,no_valid_method,,,,,,,,,
55,NY,2011,max,PER_DIEM,estimated_allowed_amount_C,227.44966331385507,175.43,213.6,252.0,766322.0,3576.5,16.26,101.19775311828772,10240.985236189908
56,NY,2011,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,259.99617098910494,192.88909278586996,234.17226634086745,296.2266368872693,759259.0,4369.578497251069,13.203410475030452,123.58307872655,15272.777347532656
57,OH,2011,max,PER_DIEM,estimated_allowed_amount_C,167.9404635338802,154.57,168.74,180.97,494980.0,819.5,52.87,50.5286240583282,2553.141849227863
58,OH,2011,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,181.3052487072796,169.1943595306183,182.1882951653944,193.4703889732508,295248.0,1227.7153558052437,52.13489793905927,62.09508567963429,3855.799665561123
59,OK,2011,max,PER_DIEM,estimated_allowed_amount_C,128.21677205900957,123.83,125.86,127.71,158076.0,345.1,16.55,24.528359853046748,601.6404370805556
60,OK,2011,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,153.04296814713103,143.22406218317,153.79134860050888,160.48346055979644,152285.0,340.1526717557252,18.82179006027522,22.71183515523493,515.827456118565
61,OR,2011,max,PER_DIEM,estimated_allowed_amount_C,233.09857734319945,212.12,212.13,212.17,34056.0,1088.5,41.06,57.2435363838496,3276.822457729113
62,OR,2011,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,212.5896290040529,184.8466364586964,190.54163298302345,211.5265729384784,32102.0,1085.3524778143385,35.77901707912165,54.03239946693476,2919.500192154412
63,PA,2011,max,PER_DIEM,estimated_allowed_amount_C,199.45526207078356,174.0,192.9,214.9,553858.0,1625.0,104.84,65.83962642017642,4334.8564071483925
64,PA,2011,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,223.69654183422963,195.21728574896815,214.1179029802045,241.1790298020448,562917.0,2239.525909592061,91.48342059336824,75.80189357955511,5745.927070246199
65,RI,2011,max,PER_DIEM,estimated_allowed_amount_B,167.66719467484074,144.3675,164.68,183.46,66552.0,1035.8,10.88,57.57385252355075,3314.7484944035705
66,RI,2011,max,PER_DIEM_wage_adj,estimated_allowed_amount_B,155.26525736842103,134.1049094642524,152.69740526414037,170.4405450812022,62601.0,966.7724472652604,8.4847539577322,52.84742297714816,2792.8501153256066
67,SC,2011,max,,no_valid_method,,,,,,,,,
68,SD,2011,max,PER_DIEM,estimated_allowed_amount_C,129.53236486486486,109.39,125.115,141.45,41884.0,1131.58,73.0,46.82737635708771,2192.803176488337
69,SD,2011,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,147.19061463198216,124.10965323336455,140.62802451876547,161.05904404873476,39693.0,1325.6560449859417,69.90997893123922,54.95623561655348,3020.187833142141
70,TN,2011,max,PER_DIEM,estimated_allowed_amount_B,157.7668,132.23,162.73,162.74,25.0,261.43,128.96,29.63479102901408,878.2208393333334
71,TN,2011,max,PER_DIEM_wage_adj,estimated_allowed_amount_B,194.65367057371995,163.1462060456508,200.7772979642196,200.78963602714376,25.0,322.553979025293,159.1116594694633,36.56359164591497,1336.896234049223
72,TX,2011,max,PER_DIEM,estimated_allowed_amount_B,100.5942103714324,77.0,94.0,123.57,2477247.0,1038.0,5.06,34.33014064647977,1178.5585568070824
73,TX,2011,max,PER_DIEM_wage_adj,estimated_allowed_amount_B,114.21485336692275,84.82288273615634,107.46435213887167,139.39081053175013,2412913.0,1329.7463489623367,5.1318458417849895,40.05385382786187,1604.311206463725
74,UT,2011,max,PER_DIEM,estimated_allowed_amount_C,176.05370016227684,154.29,161.5,171.14,40055.0,878.4,49.49,72.08298718069334,5195.957040891999
75,UT,2011,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,200.44318061002144,169.14526224908266,178.6099719404274,191.01630246271247,40087.0,1162.519851773425,53.4103172890136,98.36306096657596,9675.291762714342
76,VA,2011,max,PER_DIEM,estimated_allowed_amount_C,159.69551364404947,142.73,151.44,164.48,226509.0,1210.8,23.61,44.893115745068926,2015.3918413001556
77,VA,2011,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,178.3897513674765,160.5630887071732,172.720316286188,185.7288611146537,223700.0,1025.5579645453386,26.74747932479891,43.32827683768205,1877.3395737228157
78,VT,2011,max,PER_DIEM,estimated_allowed_amount_C,200.35662543538444,177.33,194.1,212.9625,22394.0,703.0,34.0,48.45377265030872,2347.7680840478047
79,VT,2011,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,214.68526888247584,184.24564696069237,205.56771973725367,224.1684912939214,23826.0,848.0635308491142,35.449900948806174,56.44710365173199,3186.2755106693744
80,WA,2011,max,PER_DIEM,estimated_allowed_amount_C,173.8515484799005,155.14,171.71,187.86,128610.0,661.0,24.24,31.237734633413893,975.796065027586
81,WA,2011,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,158.91829535545534,144.70598607070437,156.52003142183818,169.35388845247448,120400.0,571.9972308757356,20.976116303219108,28.07133541759389,787.9998721270608
82,WI,2011,max,PER_DIEM,estimated_allowed_amount_C,159.96020794195363,143.45,151.77,160.91,162353.0,1994.5,47.55,51.10343192230281,2611.5607542374382
83,WI,2011,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,164.29261421317565,147.86861706901195,156.77108907001866,166.9170476812541,148438.0,2171.2388417156544,42.10200106251106,50.81304530940727,2581.965573615877
84,WV,2011,max,PER_DIEM,estimated_allowed_amount_C,238.7323860262222,191.89,206.87,250.77,81839.0,1441.0,30.34,102.65436472242834,10537.91859656534
85,WV,2011,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,309.34562572112776,246.2670591383463,272.6384800642227,322.5849611988226,80162.0,2158.801498127341,40.5940594059406,133.67612326098353,17869.305930085662
86,WY,2011,max,PER_DIEM,estimated_allowed_amount_C,166.7274295023697,148.2,160.2,179.48,16880.0,792.5,37.18,39.12280350565681,1530.593754142233
87,WY,2011,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,177.30775028655412,162.78337531486144,177.6488865872605,190.2812762384551,14260.0,855.1850652854214,39.02183039462636,41.11628872398286,1690.54919843392
88,AK,2012,max,PER_DIEM,estimated_allowed_amount_C,592.3052560117782,443.93,524.06,634.71,6113.0,3329.5,214.81,299.6515853900516,89791.07262677139
89,AK,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,458.964425383928,365.8864254512487,407.9557839016036,550.0529941706411,6012.0,2940.734852499558,167.21936789662152,182.0221771645179,33132.07297971114
90,AL,2012,max,PER_DIEM,estimated_allowed_amount_C,192.92884737891688,175.0,188.21,198.27,216628.0,780.5,59.87,44.9870371249386,2023.833509280604
91,AL,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,247.17698888284767,219.77045538689376,239.4399454827267,261.70798898071627,198926.0,975.381154711322,82.46556473829202,58.24796727012436,3392.825691101478
92,AR,2012,max,,no_valid_method,,,,,,,,,
93,AZ,2012,max,PER_DIEM,estimated_allowed_amount_C,148.9908762285524,120.13,138.4,162.0,6003.0,857.33,2.83,73.4176524413701,5390.151690001817
94,AZ,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,154.5521149908625,121.86800188848883,147.77588491387468,170.80217539089054,6040.0,864.8198504418762,2.2772994286633943,72.16082142538153,5207.184148785801
95,CA,2012,max,PER_DIEM,estimated_allowed_amount_C,204.14574554970545,162.73,179.29,207.44,543391.0,914.0,16.23,93.9907112569562,8834.253802588511
96,CA,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,158.51271176653094,128.63928899785475,141.88880426504187,157.20777337329594,526352.0,789.2296782200159,10.204979879275657,72.60439162814502,5271.397683693055
97,CO,2012,max,PER_DIEM,estimated_allowed_amount_C,192.46449244842967,172.5,186.9,204.06,132489.0,808.14,27.9,45.61342013998488,2080.5840968667776
98,CO,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,188.78216624096385,169.86944679252372,182.21095144172068,199.4464551841601,139212.0,759.0307128768667,26.204564666103128,43.50932228424235,1893.061125634068
99,CT,2012,max,PER_DIEM,estimated_allowed_amount_C,242.42858942329343,214.55,233.1,242.84,190929.0,1600.0,66.06,89.75065376443348,8055.179851143217
100,CT,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,213.8705648417909,186.3271028037383,200.15887850467288,219.07476635514016,178239.0,1417.5600248073004,51.153786588198855,80.50350295407989,6480.813987877551
101,DC,2012,max,PER_DIEM,estimated_allowed_amount_C,273.91101937634164,230.57,235.6,283.57,35404.0,1019.0,27.45,102.90713355932942,10589.878137397664
102,DC,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,258.2659402220486,209.15147589525307,241.06124206221077,262.4872767650597,2403.0,701.7026001665588,30.285925788840565,88.11865311147443,7764.897026180363
103,DE,2012,max,PER_DIEM,estimated_allowed_amount_C,225.2229705920456,192.71,209.81,233.81,7719.0,1088.67,34.7,78.54909906419589,6169.96096379686
104,DE,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,221.1171224450453,189.74864003001312,208.83277338246447,231.70605890076908,7607.0,1335.2551521099117,32.54548865128494,77.4577498887301,5999.703017825069
105,FL,2012,max,,no_valid_method,,,,,,,,,
106,GA,2012,max,,no_valid_method,,,,,,,,,
107,HI,2012,max,PER_DIEM,estimated_allowed_amount_C,287.93631578947367,215.44,240.1,261.87,95.0,1034.1,186.63,166.64375582490672,27770.14135543113
108,HI,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,281.7736175115207,196.41517857142856,219.4866071428571,233.8125,62.0,923.3035714285712,166.63392857142856,177.59929302897183,31541.508884390605
109,IA,2012,max,PER_DIEM,estimated_allowed_amount_C,161.06329955826763,140.76,155.29,169.57,131754.0,1972.5,86.9,67.117577035234,4504.769147080571
110,IA,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,184.4444701639124,159.52657229055464,175.44673938268738,192.46297181079788,83632.0,1845.555813413785,86.29592850049654,83.64564073192004,6996.5932134534405
111,ID,2012,max,,no_valid_method,,,,,,,,,
112,IL,2012,max,,no_valid_method,,,,,,,,,
113,IN,2012,max,PER_DIEM,estimated_allowed_amount_C,155.63720934546805,146.17,157.32,168.65,183276.0,402.92,13.85,31.303319439209503,979.8978079131916
114,IN,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,172.74109110956368,159.93583109087146,174.09293443666454,187.7441234943281,169007.0,471.196351303941,16.25957358724902,36.04740430172327,1299.415356891897
115,KS,2012,max,PER_DIEM,estimated_allowed_amount_C,153.25088921695817,137.14,150.93,168.61,134118.0,1071.8,17.71,34.5051166840286,1190.603077378429
116,KS,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,179.91313365360296,159.35828877005346,178.2428702851886,194.8597056117755,130293.0,1332.9187911951249,20.365685372585094,38.934680737278825,1515.9093641138309
117,KY,2012,max,PER_DIEM,estimated_allowed_amount_C,178.72789601811917,160.64,170.57,186.43,147468.0,1441.25,27.52,51.96696545207222,2700.565498296868
118,KY,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,216.9271313630572,200.23165081687392,207.7016965702429,217.9438202247191,130092.0,1550.670926517572,30.92134831460674,57.79723073959466,3340.5198811659457
119,LA,2012,max,PER_DIEM,estimated_allowed_amount_B,122.82272389637517,109.69,122.0,133.68,196285.0,480.5,31.0,35.41486794907188,1254.2128718501983
120,LA,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_B,149.9975003311029,132.018612896078,148.56480885570858,163.8048654910542,157123.0,637.3524340098156,34.345224905827614,44.72640821602623,2000.4515919066184
121,MA,2012,max,PER_DIEM,estimated_allowed_amount_C,207.72101308308103,170.81,202.35,224.9,300923.0,1115.67,39.45,78.50179307973974,6162.531516734274
122,MA,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,180.4644060821753,147.26400229193524,174.34091729866378,199.69302997472013,289656.0,1065.394749682834,29.20068758057585,64.02980614403889,4099.816074843199
123,MD,2012,max,PER_DIEM,estimated_allowed_amount_C,242.66703865358028,218.61,230.6,243.87,175042.0,1165.5,75.19,77.53350365010692,6011.4441882611445
124,MD,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,246.0703960656751,218.95379765540343,233.1494434045907,251.49432809773128,163468.0,1489.4568690095848,69.5752752845378,75.78163676196453,5742.856470322336
125,ME,2012,max,,no_valid_method,,,,,,,,,
126,MI,2012,max,PER_DIEM,estimated_allowed_amount_C,188.92878851954583,161.86,183.67,198.13,263892.0,955.0,61.61,61.71285523159417,3808.4765008356994
127,MI,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,212.84050437643228,177.6256989701782,201.0849909584087,230.12658227848095,267240.0,1151.2959614225438,57.16979437909671,70.96813307339747,5036.475911923451
128,MO,2012,max,PER_DIEM,estimated_allowed_amount_C,161.24867031006187,138.9225,146.8,154.13,267882.0,2277.0,40.13,65.00439715047034,4225.571648896077
129,MO,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,188.3874340101609,159.93566462592094,170.43098745226405,185.0645119249316,270987.0,2967.5485468526,45.248226950354606,76.84637750935354,5905.365736310077
130,MS,2012,max,PER_DIEM,estimated_allowed_amount_C,191.02787435143264,173.71,185.83,200.87,151295.0,506.5,33.81,39.09941180698755,1528.7640036523972
131,MS,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,245.21056163563327,219.8965380023876,239.62063934208783,254.927709245258,151605.0,671.8397665472875,41.372980910425845,50.82615008491361,2583.2975324541635
132,MT,2012,max,PER_DIEM,estimated_allowed_amount_C,165.98976626343693,161.13,162.52,163.57,34141.0,980.8,11.52,34.675529936677464,1202.392376389415
133,MT,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,192.5463280644768,186.836912362159,188.45037724898432,190.01741149158445,31427.0,1143.6567164179105,13.372025536854323,41.267458528728696,1703.0031334203427
134,NC,2012,max,,no_valid_method,,,,,,,,,
135,ND,2012,max,,no_valid_method,,,,,,,,,
136,NE,2012,max,,no_valid_method,,,,,,,,,
137,NH,2012,max,,no_valid_method,,,,,,,,,
138,NJ,2012,max,PER_DIEM,estimated_allowed_amount_C,206.4148564200403,190.57,200.1,211.2,286182.0,1417.0,91.42,70.31570465276434,4944.298320814785
139,NJ,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,197.6791938722413,175.04857798975445,188.0237835436194,202.4249652156629,152764.0,1738.223748773307,80.74545133368662,73.59525392655472,5416.261400514069
140,NM,2012,max,PER_DIEM,estimated_allowed_amount_C,182.658,149.72750000000002,171.87,229.87,480.0,295.5,15.38,51.81889638246315,2685.198022296453
141,NM,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,197.6587185847594,161.07231358414057,184.2306825861681,244.3116863969881,487.0,309.4240837696335,16.104712041884817,52.71508146756014,2778.879814131503
142,NV,2012,max,,no_valid_method,,,,,,,,,
143,NY,2012,max,PER_DIEM,estimated_allowed_amount_C,213.00767188907784,168.1,206.36,243.07,735867.0,3477.0,12.61,90.20973975624035,8137.797146888613
144,NY,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,245.73631624628845,186.8112188818457,225.6797235023041,285.08341511285573,716386.0,4265.210991167812,10.15625,110.55365545331576,12222.110734090456
145,OH,2012,max,PER_DIEM,estimated_allowed_amount_C,165.59452913493098,152.74,167.73,179.97,484470.0,736.0,47.48,49.51022730390597,2451.2626076844363
146,OH,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,184.7749490881638,173.18492001342432,188.1371969248965,199.84093319194065,480414.0,1092.798812175204,47.50850510306184,54.476935890935,2967.736544065042
147,OK,2012,max,PER_DIEM,estimated_allowed_amount_C,133.50093570993872,126.0,129.29,137.29,159387.0,345.1,17.9,23.024742054678807,530.1387466844949
148,OK,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,161.68935970184526,151.24372159770388,160.29561671763506,167.2910295616717,154521.0,364.1732283464567,20.035818222520707,25.9553365960924,673.6794978164535
149,OR,2012,max,PER_DIEM,estimated_allowed_amount_C,232.9835492745649,212.13,212.13,224.65,34531.0,636.5,41.06,54.982969858990586,3023.1269745146674
150,OR,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,209.83678150991287,185.20167627029855,188.99679258731288,207.806907226468,33032.0,622.1288241618611,35.43626477949426,50.61713080394928,2562.093930824112
151,PA,2012,max,PER_DIEM,estimated_allowed_amount_C,199.35855314634424,174.07,192.93,214.1,555184.0,1667.5,107.58,68.2849747583184,4662.83777774418
152,PA,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,222.53442866987555,194.88757396449705,212.6708337747643,239.42555541917272,563483.0,2073.489181795573,95.01854795972442,77.75988922160084,6046.600371755635
153,RI,2012,max,PER_DIEM,estimated_allowed_amount_B,170.21293109041198,146.38,165.87,184.9,43158.0,1035.8,42.16,61.219787245818026,3747.8623504232232
154,RI,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_B,158.75274400672427,136.93251245417804,154.9111758623931,172.92038725444118,40910.0,973.5877432089482,32.84000623150023,56.75283129064908,3220.883859504877
155,SC,2012,max,,no_valid_method,,,,,,,,,
156,SD,2012,max,PER_DIEM,estimated_allowed_amount_C,129.28099535338714,108.55,124.33,140.97,40890.0,1145.72,73.92,51.93490416382105,2697.234270505277
157,SD,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,151.13020450066747,126.12048192771086,143.30470488969974,164.5542168674699,39928.0,1380.3855421686749,72.44927962364011,63.55829359811754,4039.65668510451
158,TN,2012,max,PER_DIEM,estimated_allowed_amount_B,,,,,0.0,,,,
159,TN,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_B,,,,,0.0,,,,
160,TX,2012,max,PER_DIEM,estimated_allowed_amount_B,103.8608699863763,78.5,98.29,129.0,2598420.0,1040.5,5.29,35.413084672256865,1254.0865660044342
161,TX,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_B,116.45523978223294,85.97285067873302,110.54953365263422,143.68540458784975,2536525.0,1311.4444164355937,5.319255907491201,40.78162453720812,1663.1408998938152
162,UT,2012,max,PER_DIEM,estimated_allowed_amount_C,183.08047820883613,158.67,166.71,178.73,40108.0,991.5,59.95,76.78443310040343,5895.849166550331
163,UT,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,211.7240923999893,174.753053637812,183.6006372809347,196.4642082429501,40820.0,1144.6023104501394,63.67498672331386,112.01087379691111,12546.435848747547
164,VA,2012,max,PER_DIEM,estimated_allowed_amount_C,163.27095754046184,144.88,154.3,167.61,236272.0,2123.5,24.77,46.71339863655593,2182.141612177785
165,VA,2012,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,181.1407245065628,162.95577571238894,174.53709960805512,187.16572591838624,233845.0,1028.7066649609826,29.522398267411376,45.1092040198224,2034.8402873019616
166,VT,2012,max,PER_DIEM,estimated_allowed_amount_C,209.09216384206053,184.17,201.29,221.33,22363.0,694.14,35.52,50.73872594434056,2574.418310454898
