state,year,filetype,pmt_var,method,claim_count,25%,50%,75%,max,mean,min,std,var
MO,2015,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,1368362,164.5526372,171.8557794,179.2333974,2625.453769,192.0607927,41.36237455,77.01503503,5931.315621
MS,2015,max,PER_DIEM,estimated_allowed_amount_C,109882,179.68,193.45,208.1,361,196.9520369,31.1,31.16070099,970.9892862
MS,2015,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,262632,219.669749,237.9824269,267.6787899,476.8824306,246.5662192,40.07215565,41.78854097,1746.282157
MT,2015,max,--,file_unavailable,--,--,--,--,--,--,--,--,--
NC,2015,max,--,no_valid_method,--,--,--,--,--,--,--,--,--
ND,2015,max,--,no_valid_method,--,--,--,--,--,--,--,--,--
NE,2015,max,--,no_valid_method,--,--,--,--,--,--,--,--,--
NH,2015,max,--,no_valid_method,--,--,--,--,--,--,--,--,--
NJ,2015,max,PER_DIEM,estimated_allowed_amount_C,257434,200.71,209.675,218.92,2237.33,216.4477704,112.99,80.59203452,6495.076028
NJ,2015,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,2005892,158.3625458,167.4378749,181.9038716,2731.115723,177.3475938,88.01900756,68.1965885,4650.774683
NM,2015,max,--,file_unavailable,--,--,--,--,--,--,--,--,--
NV,2015,max,--,no_valid_method,--,--,--,--,--,--,--,--,--
NY,2015,max,--,file_unavailable,--,--,--,--,--,--,--,--,--
OH,2015,max,--,file_unavailable,--,--,--,--,--,--,--,--,--
OK,2015,max,--,file_unavailable,--,--,--,--,--,--,--,--,--
OR,2015,max,PER_DIEM,estimated_allowed_amount_C,33034,257.57,272,350.075,3699,343.6550608,52.65,167.0795273,27915.56845
OR,2015,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,134897,215.7925603,227.8820375,301.9101877,3099.02815,294.9338079,44.11025469,146.6007071,21491.76732
PA,2015,max,PER_DIEM,estimated_allowed_amount_C,644751,179.57,198.58,219.26,1620,204.8743555,104.52,68.54626803,4698.590861
PA,2015,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,1873652,198.8776213,221.761778,244.7100099,2080.924855,228.3712855,93.04727143,78.09328287,6098.56083
RI,2015,max,--,file_unavailable,--,--,--,--,--,--,--,--,--
SC,2015,max,--,no_valid_method,--,--,--,--,--,--,--,--,--
SD,2015,max,PER_DIEM,estimated_allowed_amount_C,37325,119.94,138.35,156.64,1173.5,146.1438902,75.71,66.4395731,4414.216874
SD,2015,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,69566,143.5087329,165.2911453,187.2169642,1411.814244,175.1117266,84.22516409,82.10261224,6740.838936
TN,2015,max,--,low_claim_count,0,--,--,--,--,--,--,--,--
TX,2015,max,--,file_unavailable,--,--,--,--,--,--,--,--,--
UT,2015,max,PER_DIEM,estimated_allowed_amount_C,37492,170.4,178.29,188.79,873.67,197.8837875,50.93,89.21066516,7958.542778
UT,2015,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,90049,183.7398374,192.9539295,206.3726046,1180.954312,226.08838,53.6048837,123.5275322,15259.05122
VA,2015,max,--,file_unavailable,--,--,--,--,--,--,--,--,--
VT,2015,max,PER_DIEM,estimated_allowed_amount_C,23579,198,216.81,245,1135.71,223.7063395,60.29,50.34167046,2534.283785
VT,2015,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,39554,202.4799921,229.8587096,258.1741367,725.0976563,238.8150244,63.28330009,55.25182263,3052.763904
WA,2015,max,--,file_unavailable,--,--,--,--,--,--,--,--,--
WI,2015,max,--,file_unavailable,--,--,--,--,--,--,--,--,--
WV,2015,max,PER_DIEM,estimated_allowed_amount_C,54604,210.23,229.29,310.1,1561.08,276.0192772,88.41,122.8139883,15083.27573
WV,2015,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,138014,247.3314959,297.1752916,387.2154579,2443.004695,340.5509755,113.8480669,157.8159654,24905.87895
WY,2015,max,PER_DIEM,estimated_allowed_amount_C,17681,166.55,174.9,186.23,769.25,180.0691748,43.81,43.79166594,1917.710006
WY,2015,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,16931,169.7126251,187.0304596,200.4843397,917.8156258,193.3139679,40.57090239,58.26250975,3394.520042
