state,year,filetype,pmt_var,method,claim_count,25%,50%,75%,max,mean,min,std,var
AK,2015,max,--,file_unavailable,--,--,--,--,--,--,--,--,--
AL,2015,max,--,file_unavailable,--,--,--,--,--,--,--,--,--
AR,2015,max,--,no_valid_method,--,--,--,--,--,--,--,--,--
AZ,2015,max,--,file_unavailable,--,--,--,--,--,--,--,--,--
CA,2015,max,PER_DIEM,estimated_allowed_amount_C,209736,173.29,194.17,232.15,1112,222.4945443,18.26,98.24786899,9652.64376
CA,2015,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,369987,126.6234146,141.9229598,159.4858923,1136.128899,158.7292881,13.23280145,74.85756753,5603.655417
CO,2015,max,--,file_unavailable,--,--,--,--,--,--,--,--,--
CT,2015,max,PER_DIEM,estimated_allowed_amount_C,311555,217.2,235.03,243.93,1600,242.180387,66.74,81.28747939,6607.654305
CT,2015,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,546022,184.7558234,201.0610279,214.6326108,1416.555998,209.8801857,50.22198811,71.3108371,5085.235487
DC,2015,max,--,file_unavailable,--,--,--,--,--,--,--,--,--
DE,2015,max,--,file_unavailable,--,--,--,--,--,--,--,--,--
FL,2015,max,--,no_valid_method,--,--,--,--,--,--,--,--,--
GA,2015,max,--,no_valid_method,--,--,--,--,--,--,--,--,--
HI,2015,max,--,file_unavailable,--,--,--,--,--,--,--,--,--
IA,2015,max,PER_DIEM,estimated_allowed_amount_C,154596,153.94,169.94,185.26,2797,176.3590215,90.23,73.93479526,5466.353951
IA,2015,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,340884,175.6158192,194.8349032,208.0170157,3939.991548,201.1907934,91.30742765,84.52021547,7143.666823
ID,2015,max,--,no_valid_method,--,--,--,--,--,--,--,--,--
IL,2015,max,--,no_valid_method,--,--,--,--,--,--,--,--,--
IN,2015,max,--,file_unavailable,--,--,--,--,--,--,--,--,--
KS,2015,max,--,file_unavailable,--,--,--,--,--,--,--,--,--
KY,2015,max,--,file_unavailable,--,--,--,--,--,--,--,--,--
LA,2015,max,PER_DIEM,estimated_allowed_amount_B,208218,122.77,136.27,148.58,566,137.2072626,36.52,40.0527635,1604.223864
LA,2015,max,PER_DIEM_wage_adj,estimated_allowed_amount_B,820816,145.7997959,164.6614617,182.7678231,796.2858751,167.4759526,38.63732543,52.05993776,2710.23712
MA,2015,max,--,file_unavailable,--,--,--,--,--,--,--,--,--
MD,2015,max,--,file_unavailable,--,--,--,--,--,--,--,--,--
ME,2015,max,--,no_valid_method,--,--,--,--,--,--,--,--,--
MI,2015,max,PER_DIEM,estimated_allowed_amount_C,158352,172.81,197.68,211,950,203.671722,61.13,65.30331,4264.522297
MI,2015,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,353357,190.2969019,211.3749602,229.1626448,1194.076875,220.1628566,58.61013175,70.875544,5023.342737
MN,2015,max,--,file_unavailable,--,--,--,--,--,--,--,--,--
MO,2015,max,PER_DIEM,estimated_allowed_amount_C,168307,147.6,155.33,162.06,2459,172.8557997,38.74,68.86633836,4742.572559
