state,year,pmt_var,method,claim_count,25%,50%,75%,max,mean,min,std,var
AK,2021,--,outlier,--,--,--,--,--,--,--,--,--
AL,2021,PER_DIEM,allowed_amount,307196,225.79,242.99,259.74,639.15,246.1016013,17.52,40.18123752,1614.531848
AL,2021,PER_DIEM_wage_adj,allowed_amount,264028,298.7621697,329.0899093,364.0095181,942.4211147,335.7799462,23.47266881,61.35179249,3764.042442
AR,2021,PER_DIEM,allowed_amount,526357,191.43,204.84,221.41,788,216.4813638,15,57.25432824,3278.058102
AR,2021,PER_DIEM_wage_adj,allowed_amount,432037,244.8238417,265.6153196,285.1168685,959.6882231,279.4405513,21.12081104,75.60510171,5716.131405
AZ,2021,PER_DIEM,allowed_amount,15852,182.96,199.35,314.26,1107.3,277.74385,1.56,163.0872884,26597.46365
AZ,2021,PER_DIEM_wage_adj,allowed_amount,14735,197.4330013,217.9419826,268.9470078,1228.979639,281.7482806,1.493680582,159.6602425,25491.39302
CA,2021,--,outlier,--,--,--,--,--,--,--,--,--
CO,2021,PER_DIEM,allowed_amount,248745,221.55,240.66,260.55,1383.75,244.7822754,28.88,47.93846788,2298.096703
CO,2021,PER_DIEM_wage_adj,allowed_amount,249602,222.5742387,242.3453094,260.9780439,1459.497943,247.7192075,28.63374975,42.89343333,1839.846623
CT,2021,PER_DIEM,allowed_amount,171664,259.22,279.9,303.08,3804,313.6042416,75.52,141.3354926,19975.72146
CT,2021,PER_DIEM_wage_adj,allowed_amount,164077,230.6507612,251.7917133,274.7760358,3549.832027,278.0423385,58.30842797,126.3927947,15975.13856
DC,2021,PER_DIEM,allowed_amount,57633,363.58,456.65,742,4223.92,573.1272755,49.47,321.476107,103346.8874
DC,2021,PER_DIEM_wage_adj,allowed_amount,5440,278.1323877,292.3955871,333.5961048,860.1901229,306.9382295,50.40386131,68.38081242,4675.935507
DE,2021,--,outlier,--,--,--,--,--,--,--,--,--
FL,2021,PER_DIEM,allowed_amount,86685,217.66,254.3,396.8,796.7,282.5062442,0,164.9858018,27220.31481
FL,2021,PER_DIEM_wage_adj,allowed_amount,58117,234.9377314,272.9720633,309.8227068,864.3867634,268.814333,0,166.619194,27761.9558
GA,2021,PER_DIEM,allowed_amount,954239,191.68,212.17,234.22,803.76,213.9000022,17.42,42.71846844,1824.867546
GA,2021,PER_DIEM_wage_adj,allowed_amount,15649,227.1901088,240.022281,294.637564,375.9504247,256.3525791,123.2378738,40.54084907,1643.560444
HI,2021,--,outlier,--,--,--,--,--,--,--,--,--
IA,2021,PER_DIEM,allowed_amount,3761,436.93,458.54,459.47,2451.33,456.7346716,158.15,178.1297565,31730.21016
IA,2021,PER_DIEM_wage_adj,allowed_amount,3762,519.9690587,545.6860645,546.7928121,2917.20814,544.9109326,183.3835807,195.6438297,38276.5081
ID,2021,--,outlier,--,--,--,--,--,--,--,--,--
IL,2021,PER_DIEM,allowed_amount,148660,180,246.26,361,8250,332.7059835,43.75,237.1162323,56224.10761
IL,2021,PER_DIEM_wage_adj,allowed_amount,121264,214.0212864,289.2611787,435.097023,9943.353019,394.1786555,52.72990237,276.8339116,76637.01459
IN,2021,PER_DIEM,allowed_amount,714625,177.66,233.55,254.23,3027.12,189.023289,0,114.0534644,13008.19274
IN,2021,PER_DIEM_wage_adj,allowed_amount,690791,186.7892305,251.7252675,277.8549198,3448.994494,205.897354,0,126.6054257,16028.93383
KS,2021,PER_DIEM,allowed_amount,5019,235.92,537,549,843.88,438.6374318,41.29,156.3083578,24432.30273
KS,2021,PER_DIEM_wage_adj,allowed_amount,4663,531.0185185,633.0719557,665.3597786,1085.236626,554.7119601,45.24931507,181.9441382,33103.66944
KY,2021,PER_DIEM,allowed_amount,288018,224.33,238.75,258.89,4209.65,249.6859622,23.72,71.21566033,5071.670276
KY,2021,PER_DIEM_wage_adj,allowed_amount,174406,274.0619078,288.2345972,302.8300695,5318.572331,301.2594173,27.49180848,94.07945494,8850.943842
LA,2021,PER_DIEM,allowed_amount,263517,169.69,187.51,205.04,818.99,196.2858458,52.84,72.13266219,5203.120954
LA,2021,PER_DIEM_wage_adj,allowed_amount,236041,216.7944505,241.4622472,269.5555295,1179.930846,253.387499,61.96786678,94.40451457,8912.212372
MA,2021,PER_DIEM,allowed_amount,235349,205.42,243.19,274.91,9735.77,288.075971,5.26,199.553091,39821.43613
MA,2021,PER_DIEM_wage_adj,allowed_amount,210046,185.4268891,218.0596465,253.2651391,7967.07856,260.7724648,4.682631532,183.8229585,33790.88008
MD,2021,PER_DIEM,allowed_amount,175815,267.88,283.62,302.65,4976.12,271.8948344,0,76.41287317,5838.927187
MD,2021,PER_DIEM_wage_adj,allowed_amount,145280,279.1272656,306.2808529,322.9282638,3065.087701,289.8958549,0,82.93408257,6878.062051
ME,2021,PER_DIEM,allowed_amount,87753,140.89,239.96,301.35,4406.76,279.619649,13.72,314.9363637,99184.91316
ME,2021,PER_DIEM_wage_adj,allowed_amount,56858,246.4478148,293.0420556,348.2189426,4240.939274,353.3490845,15.09960543,355.1025094,126097.7922
MI,2021,PER_DIEM,allowed_amount,272090,193.01,219,241.03,950,219.4455657,8.46,54.92333975,3016.573249
MI,2021,PER_DIEM_wage_adj,allowed_amount,249984,217.8798186,241.705807,268.4807256,1032.833225,245.599254,21.50900901,62.11845299,3858.702202
MO,2021,--,outlier,--,--,--,--,--,--,--,--,--
MS,2021,PER_DIEM,allowed_amount,289228,210.54,227.82,244.21,1986.85,239.6893487,30.75,55.31246527,3059.468815
MS,2021,PER_DIEM_wage_adj,allowed_amount,285135,273.9683816,299.1513062,324.4640943,2067.068596,313.969573,41.1977492,70.1093687,4915.32358
MT,2021,PER_DIEM,allowed_amount,45545,0,0,0,0,0,0,0,0
MT,2021,PER_DIEM_wage_adj,allowed_amount,39106,0,0,0,0,0,0,0,0
NC,2021,PER_DIEM,allowed_amount,690106,259.63,318.16,330.62,1434,311.3063988,29.82,80.28389404,6445.503642
NC,2021,PER_DIEM_wage_adj,allowed_amount,566921,307.2419884,355.6119279,396.0607557,1544.978552,360.381174,30.87595776,97.73612568,9552.350264
ND,2021,PER_DIEM,allowed_amount,39603,275.87,327.99,405.23,2915.25,397.0471212,23.53,219.5120113,48185.5231
ND,2021,PER_DIEM_wage_adj,allowed_amount,49083,316.4487905,372.3948375,445.2557361,2271.757817,440.5484719,25.89983489,242.5294536,58820.53585
NE,2021,PER_DIEM,allowed_amount,99034,99.21,221.01,259.98,1722.58,206.4803796,48.69,105.2993589,11087.95498
NE,2021,PER_DIEM_wage_adj,allowed_amount,84333,107.9202343,241.9437603,284.4713309,1767.836617,227.7637194,38.96446863,119.7904024,14349.7405
NH,2021,--,outlier,--,--,--,--,--,--,--,--,--
NJ,2021,PER_DIEM,allowed_amount,60679,239.47,251.44,268.08,1858,394.1902081,174.61,300.3537656,90212.3845
NJ,2021,PER_DIEM_wage_adj,allowed_amount,46217,190.4961148,213.0676719,230.183091,1675.836565,248.112596,156.7133369,155.0229213,24032.10611
NM,2021,PER_DIEM,allowed_amount,8703,346.39,380.8,431.98,1860,406.8556969,66.86,135.534971,18369.72837
NM,2021,PER_DIEM_wage_adj,allowed_amount,4918,384.484542,425.7096885,570.4286864,2138.176802,453.9223778,76.85940913,118.4178764,14022.79346
NV,2021,PER_DIEM,allowed_amount,80209,127.65,133.48,256.46,2150,224.3742424,56.99,138.470824,19174.16909
NV,2021,PER_DIEM_wage_adj,allowed_amount,75200,108.397463,126.4215736,234.375,1818.181818,199.1371401,48.19450317,125.7265608,15807.16809
NY,2021,PER_DIEM,allowed_amount,2970916,226.99,279.54,315.76,1934.52,289.5463623,6.38,104.1602552,10849.35876
NY,2021,PER_DIEM_wage_adj,allowed_amount,2858015,207.2325164,228.8423502,258.0917513,2250.750436,246.9111319,12.97265852,85.04875157,7233.290143
OH,2021,PER_DIEM,allowed_amount,303421,204.28,222.24,248.8,2212.4,246.9446554,69.67,100.1819457,10036.42224
OH,2021,PER_DIEM_wage_adj,allowed_amount,266461,239.4989959,262.1942179,291.7963924,2725.450115,285.9902544,73.05998322,114.4982011,13109.83806
OK,2021,PER_DIEM,allowed_amount,563966,170.57,178.48,184.56,1350,181.6989058,7.95,44.82945821,2009.680324
OK,2021,PER_DIEM_wage_adj,allowed_amount,490273,204.2486583,217.6555891,231.1925418,811.6550117,219.8890589,8.888640429,43.5409198,1895.811697
OR,2021,PER_DIEM,allowed_amount,42234,351.61,392.33,492.26,888,426.8463326,51.11,92.6715398,8588.01429
OR,2021,PER_DIEM_wage_adj,allowed_amount,38826,309.1624324,336.3020744,421.9612549,805.5883153,367.2712419,41.88657597,81.4225731,6629.63541
PA,2021,PER_DIEM,allowed_amount,87903,192.61,227.75,625.02,1372,423.5945564,39.39,318.1425719,101214.6961
PA,2021,PER_DIEM_wage_adj,allowed_amount,76275,206.1467214,248.2105001,598.9171375,1503.211462,441.6301759,35.64383314,350.3283067,122729.9225
RI,2021,PER_DIEM,allowed_amount,50241,203.47,241.42,281.72,2500,252.3659991,23.94,93.28875353,8702.791535
RI,2021,PER_DIEM_wage_adj,allowed_amount,40739,198.155054,232.4828263,270.686948,2954.045307,247.0369493,22.34042553,101.5420021,10310.7782
SC,2021,PER_DIEM,allowed_amount,131996,149.2275,172.32,202.63,1612.22,196.5251919,0.32,86.33840625,7454.320393
SC,2021,PER_DIEM_wage_adj,allowed_amount,111186,174.3378589,200.8532983,238.2745488,1365.647335,227.7169539,0.356109504,98.58658383,9719.314511
SD,2021,PER_DIEM,allowed_amount,33427,0,0,112.08,914.68,50.43982589,0,89.0656827,7932.695835
SD,2021,PER_DIEM_wage_adj,allowed_amount,24836,0,0,149.9506382,1139.078456,67.58335125,0,118.4938378,14040.78959
TN,2021,--,outlier,--,--,--,--,--,--,--,--,--
TX,2021,PER_DIEM,allowed_amount,375927,162.73,180.38,204.42,1717.86,235.7804235,11.64,211.0940383,44560.69299
TX,2021,PER_DIEM_wage_adj,allowed_amount,286812,173.125709,197.9168815,226.5301815,2021.963277,261.7011777,11.58324211,234.0666357,54787.18993
UT,2021,PER_DIEM,allowed_amount,153495,204.84,218.92,228.06,928.56,237.088626,26.95,106.6498299,11374.18621
UT,2021,PER_DIEM_wage_adj,allowed_amount,181237,218.6723769,233.5750948,252.4099151,1172.949144,272.0345445,30.07141263,150.9309166,22780.14158
VA,2021,PER_DIEM,allowed_amount,53476,244.58,315.4,423.32,1353,366.8241731,28.32,174.9760287,30616.61061
VA,2021,PER_DIEM_wage_adj,allowed_amount,36097,260.6025343,304.7407913,450.56899,1440.894569,400.4277094,30.15974441,214.8495304,46160.32072
VT,2021,--,outlier,--,--,--,--,--,--,--,--,--
WA,2021,PER_DIEM,allowed_amount,255331,261.49,275.45,294.69,1128.2,284.5591822,13.33,47.21619018,2229.368616
WA,2021,PER_DIEM_wage_adj,allowed_amount,226085,234.1208464,246.3474524,274.8845632,1021.457673,258.7871875,11.32829098,44.40078788,1971.429965
WI,2021,PER_DIEM,allowed_amount,46100,191.52,208.33,240.38,1624,223.2870961,23.83,52.14156524,2718.742826
WI,2021,PER_DIEM_wage_adj,allowed_amount,39193,201.5894594,217.6791189,248.4486874,1683.075966,231.7662539,25.85159471,52.59880509,2766.634297
WV,2021,PER_DIEM,allowed_amount,93290,289.38,339.88,428.21,5061.4,378.8632708,94.95,152.5434384,23269.5006
WV,2021,PER_DIEM_wage_adj,allowed_amount,82554,373.37537,442.9159696,562.3409364,6851.766617,490.2483265,111.6402116,202.6494199,41066.7874
WY,2021,--,outlier,--,--,--,--,--,--,--,--,--
,,,allowed_amount,,,,,,,,,
,,,allowed_amount,,,,,,,,,
,,,allowed_amount,,,,,,,,,
,,,allowed_amount,,,,,,,,,
,,,allowed_amount,,,,,,,,,
,,,allowed_amount,,,,,,,,,
,,,allowed_amount,,,,,,,,,
,,,allowed_amount,,,,,,,,,
,,,allowed_amount,,,,,,,,,
,,,allowed_amount,,,,,,,,,
