state,year,pmt_var,method,claim_count,25%,50%,75%,max,mean,min,std,var
AK,2019,--,outlier,--,--,--,--,--,--,--,--,--
AL,2019,PER_DIEM,allowed_amount,281356,$199.09 ,$214.50 ,$225.37 ,$552.25 ,$220.22 ,$15.97 ,$47.27 ,2234.920078
AL,2019,PER_DIEM_wage_adj,allowed_amount,263771,$264.66 ,$291.67 ,$321.57 ,$821.89 ,$301.23 ,$21.42 ,$66.42 ,4411.413473
AR,2019,PER_DIEM,allowed_amount,615751,$184.67 ,$194.53 ,$207.28 ,$833.00 ,$208.12 ,$14.47 ,$62.26 ,3876.62582
AR,2019,PER_DIEM_wage_adj,allowed_amount,608111,$241.44 ,$260.46 ,$276.71 ,"$1,043.55 ",$273.72 ,$12.09 ,$82.09 ,6738.370676
AZ,2019,PER_DIEM,allowed_amount,17982,$170.92 ,$180.26 ,$242.34 ,$937.92 ,$230.78 ,$2.76 ,$120.11 ,14426.72034
AZ,2019,PER_DIEM_wage_adj,allowed_amount,17567,$178.59 ,$191.33 ,$231.13 ,"$1,056.82 ",$231.33 ,$3.01 ,$114.98 ,13219.54635
CA,2019,--,outlier,--,--,--,--,--,--,--,--,--
CO,2019,PER_DIEM,allowed_amount,286350,$211.85 ,$228.92 ,$247.39 ,"$1,413.54 ",$233.34 ,$25.75 ,$44.32 ,1964.411127
CO,2019,PER_DIEM_wage_adj,allowed_amount,314176,$211.90 ,$228.00 ,$246.33 ,"$1,475.05 ",$233.55 ,$25.13 ,$43.64 ,1904.361833
CT,2019,PER_DIEM,allowed_amount,209288,$229.59 ,$248.65 ,$263.73 ,"$2,774.00 ",$273.46 ,$66.65 ,$118.31 ,13996.49392
CT,2019,PER_DIEM_wage_adj,allowed_amount,205925,$198.24 ,$214.51 ,$231.27 ,"$2,538.90 ",$235.47 ,$52.84 ,$101.97 ,10397.5222
DC,2019,PER_DIEM,allowed_amount,63177,$275.95 ,$335.37 ,$545.68 ,"$5,786.77 ",$447.39 ,$39.78 ,$275.17 ,75718.78926
DC,2019,--,outlier,--,--,--,--,--,--,--,--,--
DE,2019,PER_DIEM,outlier,3360,$549.27 ,$707.35 ,$778.08 ,"$1,318.15 ",$757.77 ,$235.78 ,$261.58 ,68424.35485
FL,2019,PER_DIEM,allowed_amount,106058,$210.04 ,$245.57 ,$340.79 ,"$1,027.15 ",$257.87 , $-   ,$152.11 ,23137.3821
FL,2019,PER_DIEM_wage_adj,allowed_amount,86258,$221.53 ,$263.42 ,$305.21 ,"$1,119.39 ",$251.31 , $-   ,$149.21 ,22262.90087
GA,2019,PER_DIEM,allowed_amount,1057639,$173.59 ,$189.62 ,$209.19 ,$718.93 ,$194.06 ,$24.12 ,$36.27 ,1315.684784
GA,2019,PER_DIEM_wage_adj,allowed_amount,16930,$210.29 ,$217.17 ,$278.67 ,$345.79 ,$237.21 ,$115.26 ,$37.04 ,1371.655505
HI,2019,--,outlier,--,--,--,--,--,--,--,--,--
IA,2019,PER_DIEM,allowed_amount,8921,$176.96 ,$255.00 ,$421.16 ,"$1,535.50 ",$299.53 ,$70.00 ,$140.94 ,19863.75485
IA,2019,PER_DIEM_wage_adj,allowed_amount,8934,$203.15 ,$310.93 ,$504.87 ,"$1,829.96 ",$354.57 ,$73.41 ,$169.99 ,28896.61307
ID,2019,--,outlier,--,--,--,--,--,--,--,--,--
IL,2019,PER_DIEM,allowed_amount,254856,$145.32 ,$181.16 ,$275.00 ,"$3,259.25 ",$259.58 ,$43.16 ,$226.89 ,51478.51738
IL,2019,PER_DIEM_wage_adj,allowed_amount,247272,$157.39 ,$185.77 ,$270.88 ,"$3,100.80 ",$269.38 ,$41.06 ,$235.53 ,55474.88369
IN,2019,PER_DIEM,allowed_amount,834614,$200.90 ,$214.01 ,$223.53 ,"$1,716.47 ",$215.60 ,$1.12 ,$31.72 ,1006.308464
IN,2019,PER_DIEM_wage_adj,allowed_amount,809124,$213.53 ,$231.81 ,$251.39 ,"$1,667.12 ",$235.00 ,$1.36 ,$37.52 ,1407.507121
KS,2019,PER_DIEM,allowed_amount,12301,$196.07 ,$457.00 ,$462.50 ,$750.00 ,$347.21 ,$44.78 ,$151.60 ,22982.04852
KS,2019,PER_DIEM_wage_adj,allowed_amount,12224,$232.95 ,$586.01 ,$594.22 ,$894.29 ,$418.63 ,$48.25 ,$183.87 ,33807.09701
KY,2019,PER_DIEM,allowed_amount,304940,$178.50 ,$192.33 ,$212.88 ,"$3,511.61 ",$204.25 ,$22.52 ,$67.78 ,4594.628117
KY,2019,PER_DIEM_wage_adj,allowed_amount,299383,$219.95 ,$232.95 ,$249.27 ,"$4,011.89 ",$245.57 ,$28.36 ,$78.12 ,6103.210283
LA,2019,PER_DIEM,allowed_amount,306448,$147.72 ,$164.26 ,$182.58 ,"$2,486.75 ",$172.87 ,$52.28 ,$70.52 ,4972.394139
LA,2019,PER_DIEM_wage_adj,allowed_amount,286040,$186.14 ,$209.46 ,$233.37 ,"$2,987.45 ",$220.08 ,$58.82 ,$90.06 ,8110.228922
MA,2019,PER_DIEM,allowed_amount,309387,$183.97 ,$219.47 ,$248.27 ,"$8,032.40 ",$268.01 ,$2.96 ,$209.23 ,43777.97701
MA,2019,PER_DIEM_wage_adj,allowed_amount,319985,$162.35 ,$191.41 ,$224.27 ,"$6,395.73 ",$231.32 ,$2.53 ,$166.82 ,27829.29496
MD,2019,PER_DIEM,allowed_amount,201369,$246.64 ,$261.48 ,$276.40 ,"$4,573.43 ",$256.58 ,$23.77 ,$53.78 ,2892.39023
MD,2019,PER_DIEM_wage_adj,allowed_amount,210348,$256.79 ,$272.57 ,$289.60 ,"$4,628.51 ",$267.82 ,$21.04 ,$56.35 ,3175.183093
ME,2019,PER_DIEM,allowed_amount,53181,$217.28 ,$248.28 ,$284.29 ,"$4,286.05 ",$337.56 ,$4.23 ,$432.53 ,187078.1491
ME,2019,PER_DIEM_wage_adj,allowed_amount,52046,$233.52 ,$264.80 ,$311.81 ,"$4,202.42 ",$355.99 ,$4.15 ,$425.73 ,181250.1275
MI,2019,PER_DIEM,allowed_amount,327204,$184.15 ,$211.15 ,$233.78 ,$950.00 ,$212.90 ,$27.25 ,$54.91 ,3014.74176
MI,2019,PER_DIEM_wage_adj,allowed_amount,335126,$200.63 ,$231.30 ,$258.54 ,"$1,080.28 ",$235.02 ,$25.08 ,$63.24 ,3998.732413
MN,2019,--,file_unavailable,--, -- , -- , -- , -- , -- , -- , -- ,--
MO,2019,--,outlier,--,--,--,--,--,--,--,--,--
MS,2019,PER_DIEM,allowed_amount,295494,$194.69 ,$209.37 ,$222.78 ,"$3,420.23 ",$221.41 ,$61.74 ,$52.56 ,2762.208479
MS,2019,PER_DIEM_wage_adj,allowed_amount,294234,$256.30 ,$275.57 ,$300.37 ,"$4,672.45 ",$291.46 ,$84.34 ,$67.42 ,4545.736068
MT,2019,PER_DIEM,allowed_amount,53248,$201.40 ,$204.47 ,$207.92 ,$724.06 ,$221.56 ,$20.51 ,$64.56 ,4168.080783
MT,2019,PER_DIEM_wage_adj,allowed_amount,51036,$237.68 ,$244.05 ,$251.05 ,$940.95 ,$260.60 ,$24.65 ,$74.56 ,5559.749868
NC,2019,PER_DIEM,allowed_amount,770127,$180.98 ,$187.82 ,$195.12 ,$660.00 ,$190.78 ,$18.45 ,$26.19 ,685.9134262
NC,2019,PER_DIEM_wage_adj,allowed_amount,763604,$201.93 ,$217.30 ,$233.52 ,$809.40 ,$221.57 ,$18.69 ,$34.23 ,1171.815812
ND,2019,PER_DIEM,allowed_amount,44358,$247.92 ,$292.41 ,$351.21 ,"$2,049.07 ",$348.33 ,$132.20 ,$192.21 ,36943.48309
ND,2019,PER_DIEM_wage_adj,allowed_amount,44286,$295.13 ,$354.01 ,$434.23 ,"$2,807.71 ",$419.10 ,$155.66 ,$230.90 ,53315.44493
NE,2019,PER_DIEM,allowed_amount,112646,$50.87 ,$119.91 ,$174.36 ,"$1,009.08 ",$118.24 , $-   ,$82.45 ,6798.489975
NE,2019,PER_DIEM_wage_adj,allowed_amount,113737,$56.80 ,$132.45 ,$192.87 ,"$1,027.58 ",$132.12 , $-   ,$91.88 ,8441.485689
NH,2019,--,outlier,--,--,--,--,--,--,--,--,--
NJ,2019,PER_DIEM,allowed_amount,123167,$210.69 ,$221.22 ,$235.69 ,"$1,590.00 ",$345.55 ,$147.00 ,$278.10 ,77341.11791
NJ,2019,PER_DIEM_wage_adj,allowed_amount,106301,$170.39 ,$184.50 ,$201.61 ,"$1,511.26 ",$218.83 ,$128.74 ,$136.25 ,18563.70768
NM,2019,PER_DIEM,allowed_amount,9137,$316.18 ,$355.96 ,$421.44 ,"$1,867.25 ",$379.76 ,$62.41 ,$116.79 ,13639.57337
NM,2019,PER_DIEM_wage_adj,allowed_amount,4994,$356.95 ,$394.39 ,$509.96 ,"$2,045.18 ",$435.17 ,$68.36 ,$125.98 ,15869.78208
NV,2019,PER_DIEM,allowed_amount,87790,$125.38 ,$130.38 ,$236.60 ,"$1,122.75 ",$193.68 ,$16.06 ,$125.41 ,15727.68469
NV,2019,PER_DIEM_wage_adj,allowed_amount,91082,$106.01 ,$112.54 ,$203.67 ,$929.04 ,$179.27 ,$13.18 ,$119.14 ,14194.85392
NY,2019,PER_DIEM,allowed_amount,2491300,$230.55 ,$279.26 ,$316.30 ,"$1,886.82 ",$292.47 ,$17.56 ,$113.13 ,12799.4907
NY,2019,PER_DIEM_wage_adj,allowed_amount,2521737,$206.50 ,$228.85 ,$256.92 ,"$2,220.05 ",$251.60 ,$19.00 ,$96.57 ,9326.006515
OH,2019,PER_DIEM,allowed_amount,338641,$186.53 ,$199.72 ,$216.64 ,"$2,482.20 ",$221.68 ,$62.69 ,$86.15 ,7422.236752
OH,2019,PER_DIEM_wage_adj,allowed_amount,336080,$216.93 ,$232.96 ,$256.10 ,"$2,641.76 ",$255.40 ,$64.77 ,$98.76 ,9754.181491
OK,2019,PER_DIEM,allowed_amount,670870,$148.23 ,$153.05 ,$168.49 ,"$1,547.58 ",$160.27 ,$7.39 ,$41.45 ,1718.360654
OK,2019,PER_DIEM_wage_adj,allowed_amount,634514,$172.03 ,$191.89 ,$202.54 ,$792.50 ,$192.62 ,$9.10 ,$43.54 ,1896.007526
OR,2019,PER_DIEM,allowed_amount,44740,$312.94 ,$326.50 ,$438.12 ,"$1,240.70 ",$366.22 ,$52.66 ,$87.00 ,7569.678712
OR,2019,PER_DIEM_wage_adj,allowed_amount,43454,$268.95 ,$294.89 ,$360.89 ,"$1,021.99 ",$318.67 ,$43.38 ,$76.78 ,5894.647624
PA,2019,PER_DIEM,allowed_amount,391287,$181.05 ,$202.70 ,$227.58 ,"$1,254.41 ",$241.03 ,$80.93 ,$130.70 ,17083.43983
PA,2019,PER_DIEM_wage_adj,allowed_amount,388439,$201.97 ,$228.23 ,$249.41 ,"$1,653.37 ",$262.28 ,$68.79 ,$140.24 ,19668.00105
RI,2019,PER_DIEM,allowed_amount,63098,$200.36 ,$233.75 ,$269.18 ,"$2,301.06 ",$258.72 ,$26.46 ,$120.32 ,14476.20591
RI,2019,PER_DIEM_wage_adj,low_claim_count,510, -- , -- , -- , -- , -- , -- , -- , -- 
SC,2019,PER_DIEM,allowed_amount,152474,$134.92 ,$156.27 ,$184.10 ,"$1,686.83 ",$183.45 ,$1.38 ,$93.20 ,8686.508275
SC,2019,PER_DIEM_wage_adj,allowed_amount,143124,$158.68 ,$183.51 ,$214.75 ,"$2,033.31 ",$212.42 ,$1.47 ,$107.90 ,11643.3554
SD,2019,PER_DIEM,allowed_amount,39422,$109.05 ,$136.89 ,$174.60 ,$768.77 ,$168.86 ,$12.31 ,$115.23 ,13276.97135
SD,2019,PER_DIEM_wage_adj,allowed_amount,40203,$137.42 ,$173.29 ,$224.17 ,$985.60 ,$219.01 ,$15.78 ,$152.86 ,23366.86142
TN,2019,--,outlier,--,--,--,--,--,--,--,--,--
TX,2019,PER_DIEM,allowed_amount,456780,$145.85 ,$164.36 ,$180.06 ,"$1,850.00 ",$211.31 ,$10.60 ,$185.84 ,34537.99219
TX,2019,PER_DIEM_wage_adj,allowed_amount,402643,$159.90 ,$179.78 ,$206.59 ,"$2,146.67 ",$226.66 ,$10.75 ,$194.16 ,37699.00066
UT,2019,PER_DIEM,allowed_amount,144228,$188.29 ,$201.66 ,$209.91 ,$911.97 ,$216.98 ,$58.41 ,$101.35 ,10272.55383
UT,2019,PER_DIEM_wage_adj,allowed_amount,180806,$205.99 ,$216.96 ,$229.41 ,"$1,146.70 ",$252.57 ,$61.56 ,$151.64 ,22993.92807
VA,2019,PER_DIEM,allowed_amount,54976,$191.74 ,$232.82 ,$309.59 ,"$10,545.12 ",$319.61 ,$10.37 ,$233.76 ,54645.36192
VA,2019,PER_DIEM_wage_adj,allowed_amount,53101,$211.73 ,$250.36 ,$322.42 ,"$12,513.49 ",$334.08 ,$11.65 ,$232.23 ,53932.49799
VT,2019,--,outlier,--,--,--,--,--,--,--,--,--
WA,2019,PER_DIEM,allowed_amount,329680,$217.94 ,$233.31 ,$247.64 ,$985.87 ,$238.44 ,$21.34 ,$42.71 ,1824.490693
WA,2019,PER_DIEM_wage_adj,allowed_amount,322494,$194.49 ,$206.42 ,$219.36 ,$812.08 ,$211.19 ,$17.58 ,$34.36 ,1180.497661
WI,2019,PER_DIEM,allowed_amount,51210,$171.18 ,$180.51 ,$203.17 ,"$1,567.00 ",$243.58 ,$19.08 ,$189.05 ,35741.56553
WI,2019,PER_DIEM_wage_adj,allowed_amount,49913,$181.43 ,$194.28 ,$211.89 ,"$1,584.11 ",$232.02 ,$21.32 ,$151.96 ,23090.83601
WV,2019,PER_DIEM,allowed_amount,105368,$241.83 ,$295.37 ,$402.01 ,"$6,050.38 ",$341.16 ,$85.37 ,$162.86 ,26522.5125
