state,year,filetype,pmt_var,method,claim_count,25%,50%,75%,max,mean,min,std,var
SD,2014,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,40844, $136 , $156 , $179 ," $1,430 ", $165 , $79 , $67 ,4546.132074
TN,2014,max,--,low_claim_count,--, -- , -- , -- , -- , -- , -- , -- ,--
TX,2014,max,PER_DIEM,estimated_allowed_amount_B,3011091, $82 , $107 , $139 ," $1,237 ", $111 , $7 , $38 ,1411.669878
TX,2014,max,PER_DIEM_wage_adj,estimated_allowed_amount_B,2953225, $93 , $121 , $155 ," $1,292 ", $126 , $7 , $43 ,1891.584291
UT,2014,max,PER_DIEM,estimated_allowed_amount_C,39592, $164 , $173 , $184 , $862 , $191 , $79 , $89 ,7833.930142
UT,2014,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,43711, $182 , $190 , $203 ," $1,134 ", $224 , $84 , $129 ,16692.14559
VA,2014,max,--,file_unavailable,--, -- , -- , -- , -- , -- , -- , -- ,--
VT,2014,max,--,file_unavailable,--, -- , -- , -- , -- , -- , -- , -- ,--
WA,2014,max,PER_DIEM,estimated_allowed_amount_C,125931, $175 , $190 , $206 , $658 , $192 , $27 , $31 ,991.5047596
WA,2014,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,120802, $158 , $170 , $182 , $561 , $173 , $23 , $29 ,820.6585799
WI,2014,max,--,file_unavailable,--, -- , -- , -- , -- , -- , -- , -- ,--
WV,2014,max,PER_DIEM,estimated_allowed_amount_C,83832, $204 , $221 , $295 ," $1,509 ", $265 , $14 , $119 ,14102.55757
WV,2014,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,80757, $265 , $296 , $381 ," $2,261 ", $343 , $18 , $154 ,23778.161
WY,2014,max,PER_DIEM,estimated_allowed_amount_C,16977, $150 , $168 , $180 , $796 , $170 , $38 , $39 ,1516.577421
WY,2014,max,PER_DIEM_wage_adj,estimated_allowed_amount_C,15292, $164 , $181 , $195 , $862 , $184 , $41 , $46 ,2134.776146
