state,year,pmt_var,method,claim_count,25%,50%,75%,max,mean,min,std,var
AK,2015, -- ,outlier, -- , -- , -- , -- , -- , -- , -- , -- , -- 
AL,2015,PER_DIEM,allowed_amount,254149,$186 ,$198 ,$209 ,$500 ,$202 ,$32 ,$42 ,1764.841817
AL,2015,PER_DIEM_wage_adj,allowed_amount,673323,$233 ,$249 ,$267 ,$723 ,$258 ,$43 ,$57 ,3269.807864
AZ,2015,PER_DIEM,allowed_amount,13387,$143 ,$156 ,$186 ,"$1,100 ",$179 ,$19 ,$65 ,4184.518534
AZ,2015,PER_DIEM_wage_adj,allowed_amount,15537,$155 ,$169 ,$188 ,"$1,059 ",$186 ,$18 ,$75 ,5560.153039
CO,2015,PER_DIEM,allowed_amount,276558,$190 ,$207 ,$220 ,$877 ,$209 ,$21 ,$38 ,1465.822572
CO,2015,PER_DIEM_wage_adj,allowed_amount,1894576,$191 ,$203 ,$213 ,$881 ,$207 ,$20 ,$39 ,1485.416935
DC,2015,PER_DIEM,allowed_amount,61136,$272 ,$290 ,$300 ,"$5,024 ",$294 ,$27 ,$62 ,3872.92747
DC,2015,PER_DIEM_wage_adj,allowed_amount,62260,$222 ,$231 ,$267 ,$762 ,$254 ,$26 ,$67 ,4501.865563
DE,2015, -- ,outlier, -- , -- , -- , -- , -- , -- , -- , -- , -- 
FL,2015,PER_DIEM,allowed_amount,98103,$209 ,$225 ,$244 ,$710 ,$231 ,$28 ,$42 ,1773.669974
FL,2015,PER_DIEM_wage_adj,allowed_amount,225899,$229 ,$248 ,$268 ,$574 ,$254 ,$28 ,$45 ,2027.084349
HI,2015, -- ,outlier, -- , -- , -- , -- , -- , -- , -- , -- , -- 
IL,2015,PER_DIEM,allowed_amount,417036,$125 ,$141 ,$163 ,$434 ,$139 ,$15 ,$37 ,1350.883576
IL,2015,PER_DIEM_wage_adj,allowed_amount,1962556,$132 ,$148 ,$164 ,$487 ,$142 ,$14 ,$36 ,1293.754019
IN,2015,PER_DIEM,allowed_amount,727180,$176 ,$187 ,$195 ,$403 ,$188 ,$4 ,$27 ,729.23862
IN,2015,PER_DIEM_wage_adj,allowed_amount,3627559,$184 ,$195 ,$211 ,$397 ,$200 ,$4 ,$33 ,1112.171135
KS,2015,PER_DIEM,allowed_amount,3157,$147 ,$165 ,$181 ,$750 ,$167 ,$24 ,$47 ,2222.078791
KS,2015,PER_DIEM_wage_adj,allowed_amount,18002,$171 ,$188 ,$206 ,$795 ,$194 ,$25 ,$65 ,4221.521165
KY,2015,PER_DIEM,allowed_amount,219980,$172 ,$186 ,$201 ,"$1,801 ",$196 ,$34 ,$59 ,3465.154241
KY,2015,PER_DIEM_wage_adj,allowed_amount,1050785,$212 ,$224 ,$237 ,"$2,325 ",$236 ,$39 ,$65 ,4258.89402
MA,2015,PER_DIEM,allowed_amount,358337,$176 ,$206 ,$230 ,"$4,685 ",$224 ,$31 ,$127 ,16097.39638
MA,2015,PER_DIEM_wage_adj,allowed_amount,915704,$155 ,$181 ,$209 ,"$4,199 ",$197 ,$25 ,$107 ,11394.26129
MD,2015,PER_DIEM,allowed_amount,208402,$229 ,$242 ,$253 ,"$1,358 ",$230 ,$8 ,$58 ,3387.649888
MD,2015,PER_DIEM_wage_adj,allowed_amount,1587870,$232 ,$242 ,$253 ,"$1,365 ",$232 ,$7 ,$61 ,3764.188227
ME,2015,PER_DIEM,allowed_amount,46772,$185 ,$204 ,$228 ,"$1,191 ",$216 ,$77 ,$89 ,7913.811593
ME,2015,PER_DIEM_wage_adj,allowed_amount,76475,$196 ,$218 ,$245 ,"$1,388 ",$230 ,$76 ,$93 ,8720.069505
MT,2015,PER_DIEM,allowed_amount,31093,$169 ,$171 ,$174 ,$526 ,$175 ,$17 ,$37 ,1371.59995
MT,2015,PER_DIEM_wage_adj,allowed_amount,485,$188 ,$193 ,$200 ,$606 ,$211 ,$38 ,$91 ,8247.40747
NC,2015,PER_DIEM,allowed_amount,706361,$157 ,$163 ,$169 ,$547 ,$165 ,$16 ,$22 ,472.3563433
NC,2015,PER_DIEM_wage_adj,allowed_amount,2502465,$175 ,$185 ,$196 ,$588 ,$188 ,$16 ,$27 ,743.22457
ND,2015,PER_DIEM,allowed_amount,36899,$207 ,$244 ,$288 ,"$1,931 ",$258 ,$125 ,$122 ,14833.57914
ND,2015,PER_DIEM_wage_adj,allowed_amount,100294,$232 ,$305 ,$387 ,"$2,741 ",$323 ,$109 ,$168 ,28377.54504
NE,2015,PER_DIEM,allowed_amount,85091,$58 ,$122 ,$155 ,$874 ,$107 ,($133),$67 ,4508.873375
NE,2015,PER_DIEM_wage_adj,allowed_amount,285674,$61 ,$130 ,$170 ,"$1,034 ",$116 ,($138),$76 ,5709.111517
NM,2015, -- ,low_claim_count,138, -- , -- , -- , -- , -- , -- , -- , -- 
NV,2015,PER_DIEM,allowed_amount,65707,$114 ,$118 ,$123 ,$778 ,$153 ,$15 ,$95 ,9002.505834
NV,2015,PER_DIEM_wage_adj,allowed_amount,75162,$98 ,$104 ,$120 ,$662 ,$145 ,$13 ,$96 ,9279.716841
OH,2015,PER_DIEM,allowed_amount,328414,$158 ,$172 ,$183 ,$607 ,$170 ,$39 ,$42 ,1801.385095
OH,2015,PER_DIEM_wage_adj,allowed_amount,1474105,$185 ,$197 ,$205 ,$950 ,$193 ,$41 ,$47 ,2171.739177
OK,2015,PER_DIEM,allowed_amount,533239,$140 ,$143 ,$146 ,$285 ,$146 ,$14 ,$17 ,302.1060619
OK,2015,PER_DIEM_wage_adj,allowed_amount,2068850,$162 ,$169 ,$182 ,$365 ,$174 ,$15 ,$23 ,513.2846999
RI,2015,PER_DIEM,allowed_amount,42086,$189 ,$224 ,$264 ,"$1,144 ",$306 ,$25 ,$249 ,61965.25385
RI,2015,PER_DIEM_wage_adj,allowed_amount,236442,$177 ,$209 ,$245 ,"$1,075 ",$282 ,$23 ,$237 ,55980.05229
SC,2015, -- ,low_claim_count,13, -- , -- , -- , -- , -- , -- , -- , -- 
TX,2015,PER_DIEM,allowed_amount,607790,$117 ,$144 ,$170 ,"$2,212 ",$146 ,$9 ,$35 ,1201.778309
TX,2015,PER_DIEM_wage_adj,allowed_amount,2722135,$127 ,$160 ,$182 ,"$2,820 ",$159 ,$10 ,$38 ,1479.519401
