,state,25%,50%,75%,count,max,mean,min,std,pmt_var,var
0,AK,466.72,754.67,873.37,12131.0,4629.71,720.5104591542329,99.36,305.0834123263138,PER_DIEM,93075.88847666759
0,AK,417.9983726606998,560.4683024037863,726.9348694601877,9665.0,3243.458385876419,599.7087574384841,199.93694829760406,215.0265366506058,PER_DIEM_wage_adj,46236.41146395432
0,AL,211.36,226.66,243.16,308357.0,574.27,230.475862393265,20.32,38.18144332159322,PER_DIEM,1457.8226141200355
0,AL,284.7512038523275,311.6380608250527,338.96416741945194,292258.0,849.0094618568894,317.2356397792825,27.97761790567546,54.98005286633506,PER_DIEM_wage_adj,3022.806213184998
0,AR,187.36,199.49,209.66,573458.0,833.0,209.801798143892,13.5,56.57496106489535,PER_DIEM,3200.7262194944246
0,AR,241.5087281795511,258.86098762465457,277.5625171750481,563767.0,1038.6533665835411,271.04446237678246,18.549051937345425,76.01890878969779,PER_DIEM_wage_adj,5778.874493576392
0,AZ,182.63,186.69,224.31,17086.0,1200.0,236.34102481563855,1.49,116.63351048850517,PER_DIEM,13603.375768872243
0,AZ,184.5893772494274,201.15606936416182,239.15366997491546,16981.0,1211.5093387178192,237.59806044204933,1.6250408986803357,108.50127360155436,PER_DIEM_wage_adj,11772.526373159357
0,CA,227.95,263.45,291.16,1331131.0,2105.0,285.7306618056374,10.56,130.34301276109312,PER_DIEM,16989.300975638485
0,CA,215.45554854981086,215.45554854981086,219.34110970996218,233.0,249.56651954602773,215.57361915777614,195.87011349306434,10.200422642700541,PER_DIEM_wage_adj,104.04862208971791
0,CO,216.77,233.92,252.44,270499.0,1413.54,237.88989478704175,24.42,43.29146235812535,PER_DIEM,1874.1507131049843
0,CO,216.45880388883432,235.57890601983698,250.77089266424434,295858.0,1512.1309370988447,239.3099996992698,24.223787322686242,44.32118212824755,PER_DIEM_wage_adj,1964.36718524529
0,CT,236.52,254.2,277.26,181613.0,3536.0,286.7420645548502,62.61,134.08155088100435,PER_DIEM,17977.86228665536
0,CT,207.2743492012002,225.65431458927185,242.94728667119696,180232.0,3292.3649906890128,251.85066824880653,50.774470845835694,119.13180062162999,PER_DIEM_wage_adj,14192.3859193518
0,DC,331.0,444.61,674.88,64618.0,7000.11,550.1401793617878,46.0,323.37800608704714,PER_DIEM,104573.3348208343
0,DC,263.2735118172011,268.86227544910184,281.10220237491126,7058.0,2502.6968716289102,277.8192794348826,48.45542806707855,79.04255447613967,PER_DIEM_wage_adj,6247.725418113508
0,DE,580.63,714.02,815.7,2822.0,2067.55,758.0485931963146,13.36,222.5954956099346,PER_DIEM,49548.75466583242
0,DE,437.40887315142675,457.3928606940439,497.45501893939394,185.0,703.842613897837,464.3031794796955,146.5556092065025,77.19612664667603,PER_DIEM_wage_adj,5959.241969249645
0,FL,211.57,252.95,390.73,90485.0,796.7,277.8037965408631,0.0,161.44101284254276,PER_DIEM,26063.200627626054
0,FL,228.0022861581794,267.41369552914546,353.1746031746032,70670.0,758.3384016542999,273.59454540737255,0.0,169.09930526941784,PER_DIEM_wage_adj,28594.575042599765
0,GA,180.17,199.03,222.5,1011907.0,710.44,201.3604216889496,14.82,41.27216422784021,PER_DIEM,1703.3915400498126
0,GA,214.4516477579687,233.13755432867382,293.5589831476721,15380.0,351.8423307626392,248.21356380096734,117.28077692087975,43.20929171481402,PER_DIEM_wage_adj,1867.0428904958958
0,HI,340.23,424.8,433.72,848.0,4831.84,425.7185259433963,311.73,229.45286261052073,PER_DIEM,52648.6161601625
0,HI,273.4088717454195,341.36933461909354,348.53744776599166,679.0,3882.8672452587593,346.95976361155687,250.50626808100293,199.7144118334376,PER_DIEM_wage_adj,39885.84629397592
0,IA,410.14,427.29,436.93,4356.0,2401.11,428.5727502295684,154.91,158.84980010846704,PER_DIEM,25233.258994499934
0,IA,488.1456796000952,508.5574863127827,509.2656510354678,4391.0,2857.78386098548,507.3374435237296,166.76714393368502,180.48783302281896,PER_DIEM_wage_adj,32575.857869272975
0,ID,259.99,281.29,306.44,25831.0,4464.0,300.34850876853386,30.11,109.84656189373638,PER_DIEM,12066.267159874456
0,ID,293.2616968882919,334.84829566737426,382.6195530028718,21775.0,5573.729554251468,364.1615253343232,32.36590347199828,173.93343449096005,PER_DIEM_wage_adj,30252.839633821095
0,IL,176.79,222.24,350.0,193089.0,3481.7,304.8662961639451,52.56,219.31011749240355,PER_DIEM,48096.92763453184
0,IL,189.9855838539164,234.35848149927918,336.3767419509851,185323.0,3708.275641708382,316.43403552564075,50.51417587698222,230.60432962009358,PER_DIEM_wage_adj,53178.356839532775
0,IN,214.5,229.09,239.16,760436.0,639.18,230.184339010778,3.37,34.32838365104623,PER_DIEM,1178.4379240934184
0,IN,229.91019133151116,247.2297602894618,267.4868582932558,738083.0,644.1119581294801,251.19689992312396,3.6878966951192824,39.57169137085833,PER_DIEM_wage_adj,1565.918757950464
0,KS,457.0,492.0,526.0,9060.0,750.0,441.8069315673289,59.99,126.54674367353067,PER_DIEM,16014.078334374273
