,state,25%,50%,75%,count,max,mean,min,std,pmt_var,var
0,AK,395.74,549.8,795.94,14147.0,6709.33,642.5479536297447,56.53,365.913647704761,PER_DIEM,133892.79757660395
0,AK,364.53431713768623,427.7890238416554,645.1030210218571,10843.0,1617.6806348322427,485.6981532089165,39.34985382152304,174.1857770123949,PER_DIEM_wage_adj,30340.684913411766
0,AL,190.29,203.25,214.34,271878.0,561.09,211.26243498922315,44.63,50.122577371742395,PER_DIEM,2512.272762386303
0,AL,250.12367234104465,275.62174667437824,301.4490753519183,255038.0,816.3683980794414,285.40607950324267,78.65027246052816,69.17033080426138,PER_DIEM_wage_adj,4784.534663570951
0,AR,175.52,194.98,206.78,857299.0,725.0,207.69658448219343,13.44,64.68839906506953,PER_DIEM,4184.588973601689
0,AR,229.67093487539586,249.50580677044724,276.7864518793887,847842.0,987.8730072216923,268.9077205776846,15.890281390399622,82.06371615391978,PER_DIEM_wage_adj,6734.453508991115
0,AZ,157.64,166.48,201.01,14928.0,982.93,208.9861649249732,16.73,101.2410652419894,PER_DIEM,10249.753291332756
0,AZ,170.07422402159244,185.32388663967612,220.3441295546559,14892.0,969.7415153906866,209.65536767986814,22.247434885556434,89.29078922224032,PER_DIEM_wage_adj,7972.845039930548
0,CA,192.48,220.06,242.97,2063953.0,2323.66,245.90696715962056,1.51,120.56912175388017,PER_DIEM,14536.91312050198
0,CA,159.42503132395933,159.72236180692397,180.202463948047,368.0,1096.392333709132,314.21101579886215,90.09645688090919,280.52052066244056,PER_DIEM_wage_adj,78691.76251272675
0,CO,200.63,217.32,234.6,281141.0,1091.17,220.74795743061307,23.58,38.35272084607409,PER_DIEM,1470.9311962968864
0,CO,200.36651234567904,215.54093284304238,229.23359783239786,308133.0,1173.5534523553454,219.02450668333054,23.572928121563532,37.59695424527998,PER_DIEM_wage_adj,1413.5309685216766
0,CT,223.03,242.11,252.43,217082.0,2773.85,265.61329101445534,5.28,116.57351500528783,PER_DIEM,13589.384400688066
0,CT,187.63518112379944,203.22421855771597,222.58242262834054,210628.0,2547.3872715584534,225.4158410798278,4.848930112958032,101.3541772993701,PER_DIEM_wage_adj,10272.669256032148
0,DC,277.02,298.69,337.1,84841.0,5056.56,386.5641067408446,31.39,227.3409236494746,PER_DIEM,51683.895565796236
0,DC,243.43825665859563,248.79044605491478,267.59212003674594,8039.0,767.4285714285714,255.8752348322976,30.401937046004843,56.39940587503658,PER_DIEM_wage_adj,3180.8929830571105
0,DE,527.84,742.21,764.32,2735.0,1324.07,778.1708372943328,159.05,278.14257981525424,PER_DIEM,77363.29470628507
0,DE,321.1447348311172,413.3206470028544,468.0365296803653,93.0,733.1193204267089,427.05000666716865,265.5662540119211,110.29422307359414,PER_DIEM_wage_adj,12164.815643407746
0,FL,197.78,224.96,259.38,190292.0,706.56,218.45204538288525,0.0,123.05123876427675,PER_DIEM,15141.607361423043
0,FL,213.76603272888104,246.20775969962452,280.17822736030826,169917.0,716.0385500575373,225.35119896938994,0.0,122.85755541394423,PER_DIEM_wage_adj,15093.978922290375
0,GA,159.23,174.21,191.06,1042653.0,815.0,177.88604060986745,20.29,33.169086158180455,PER_DIEM,1100.1882765687983
